dataset,seed,left_scale,right_scale,prediction_nrmse,residual_correlation,log_scale_distance
ETTm2,2023,48,144,0.09162949562208815,0.9231274366540507,1.0986122886681096
ETTm2,2023,48,360,0.09554312692947725,0.9189032382016002,2.0149030205422647
ETTm2,2023,48,720,0.10759307513046475,0.8942353051478551,2.70805020110221
ETTm2,2023,144,360,0.08014773958754812,0.9288404791753518,0.9162907318741551
ETTm2,2023,144,720,0.08943149884227035,0.910711786889649,1.6094379124341005
ETTm2,2023,360,720,0.06798806953301609,0.9456610909146006,0.6931471805599454
Weather,2021,1,48,0.2173248526903678,0.9869584207529819,3.871201010907891
Weather,2021,1,144,0.19687878111878984,0.989425918808846,4.969813299576001
Weather,2021,1,360,0.16167285376489182,0.9926706774480272,5.886104031450156
Weather,2021,1,720,0.21829873356038723,0.986253738818014,6.579251212010101
Weather,2021,48,144,0.2289423214517098,0.9866314688962143,1.0986122886681096
Weather,2021,48,360,0.2054262768031724,0.9887792599872244,2.0149030205422647
Weather,2021,48,720,0.2348784546937458,0.9849942239280396,2.70805020110221
Weather,2021,144,360,0.17534488021207364,0.9914889544144837,0.9162907318741551
Weather,2021,144,720,0.20155702962855188,0.9886179174432889,1.6094379124341005
Weather,2021,360,720,0.17776142576032164,0.9910653769795074,0.6931471805599454
Weather,2022,1,48,0.19060240006025372,0.9903858111080562,3.871201010907891
Weather,2022,1,144,0.18572627321001134,0.9901889349012456,4.969813299576001
Weather,2022,1,360,0.14677913730743733,0.9940314402854775,5.886104031450156
Weather,2022,1,720,0.18516214380726623,0.9904981360173216,6.579251212010101
Weather,2022,48,144,0.19063367157137673,0.990363703740805,1.0986122886681096
Weather,2022,48,360,0.17523314788256938,0.9916130939481247,2.0149030205422647
Weather,2022,48,720,0.17691915479195539,0.9911782516326526,2.70805020110221
Weather,2022,144,360,0.17957584944647703,0.9909153308197938,0.9162907318741551
Weather,2022,144,720,0.2017745540156924,0.9885584144757851,1.6094379124341005
Weather,2022,360,720,0.14837670461408062,0.9938168877302798,0.6931471805599454
Weather,2023,1,48,0.15313889395146463,0.9933697601399688,3.871201010907891
Weather,2023,1,144,0.1721012772742986,0.9916747924827936,4.969813299576001
Weather,2023,1,360,0.14160613422220367,0.9942716707013898,5.886104031450156
Weather,2023,1,720,0.16639043781706817,0.9921346119786868,6.579251212010101
Weather,2023,48,144,0.19209704151455226,0.9896568887285639,1.0986122886681096
Weather,2023,48,360,0.15064936691234976,0.9934990864517846,2.0149030205422647
Weather,2023,48,720,0.18042349586342335,0.9910066368534824,2.70805020110221
Weather,2023,144,360,0.1649308694104995,0.9924013054937864,0.9162907318741551
Weather,2023,144,720,0.20397317222146474,0.9882848065554194,1.6094379124341005
Weather,2023,360,720,0.14740266662530757,0.9939900396360425,0.6931471805599454
