dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
Weather,H4K,Weather__h4k_current_lr5e5_patch24,h4k_current_lr5e5_patch24,0.21657293067914446,0.24835767842974388,True,1,0,1,1.0132394970026326,0.4887215471617685,4927509,1.0132394970026326,1.0084780153712205,1.0092400848275014,1.0075874464909742,True,False
Weather,H4K,Weather__h4k_current_lr5e5_patch24_dropout0,h4k_current_lr5e5_patch24_dropout0,0.21653021148851306,0.24830228009628613,True,1,1,2,1.013018840315362,0.4879025797634977,4927509,1.013018840315362,1.0082790922442575,1.009014965076376,1.0073680206703899,True,False
Weather,H4K,Weather__h4k_timealign_dropout2,h4k_timealign_dropout2,0.2167825209236104,0.24833937485085691,True,1,1,2,1.0138115730252595,0.48863672840396044,19115989,1.0138115730252595,1.0094539783095127,1.0091657053856202,1.0081563313602893,True,False
Weather,H4L,Weather__h4l_d256_ff256_r128,h4l_d256_ff256_r128,0.2168123134260065,0.2491986772779383,True,1,0,1,1.0155909781898136,0.4889843760056436,20812101,1.0155909781898136,1.0095927079448146,1.0126576145542163,1.0099258106505555,True,False
Weather,H4L,Weather__h4l_lr1e5,h4l_lr1e5,0.2162107746916907,0.24869960446818984,True,1,0,1,1.0129761814584954,0.4895548659552347,4927509,1.0129761814584954,1.0067916257086857,1.010629554507794,1.0073255997730723,True,False
Weather,H4L,Weather__h4l_patch4,h4l_patch4,0.21636773071890375,0.2491604561029972,True,1,0,1,1.0144946481479526,0.48554404478793634,1004949,1.0144946481479526,1.0075224959163704,1.0125022968604627,1.0088355961547155,True,False
Weather,H4L,Weather__h4l_rank16,h4l_rank16,0.21573569825230898,0.24935991728963686,True,1,0,1,1.0142960481832144,0.48911299190062674,1709509,1.0142960481832144,1.0045794187480332,1.0133128384398362,1.0086381040198986,True,False
Weather,H4L,Weather__h4l_rank64,h4l_rank64,0.21645746952955505,0.24829268172201507,True,1,1,2,1.0139006910087918,0.4884783034885509,3254149,1.0139006910087918,1.007940367242134,1.0089759605884747,1.0082449522260661,True,False
Weather,H4L,Weather__h4l_seq512_patch16,h4l_seq512_patch16,0.21699475901405046,0.24699415752490722,True,0,1,1,1.0107248101310322,0.497909304595715,3354773,1.0107248101310322,1.0104422710179413,1.0036992053895795,1.005086787040592,True,False
Weather,H4L,Weather__h4l_timealign_short_r64_wd1e3,h4l_timealign_short_r64_wd1e3,0.21755147027749225,0.2482542555816303,True,1,0,1,1.0151675897705408,0.488064085739103,12716101,1.0151675897705408,1.0130346128601557,1.0088198099857362,1.0095047839757063,True,False
Weather,H4L,Weather__h4l_wd0,h4l_wd0,0.21654233679566615,0.24834202403963931,True,1,1,2,1.0131326535524994,0.4877772159212904,4927509,1.0131326535524994,1.008335554082102,1.0091764707766013,1.0074811990347583,True,False
