origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720
1073,0,False,0.4694812508150613,0.0344637642163665,0.7547431744562703,-0.1645650228157749,0.4147917043165867,0.5833269832666342,0.15458368175921897,0.13273941663253344,0.15458368175921897,-0.1645650228157749,0.13273941663253344,0.11839341459644831,0.11522142865181419,0.026791911994818673,0.1350173611745801,0.264235277629372,0.2487420711608199,0.05863413321473121,0.13624740860848217,0.27490759398241804,0.2854596617463799,-0.03838405338717821,0.14811354312804262
1074,0,False,0.4292814758349789,0.03280014404103101,0.6931975937066173,-0.19551525030176808,0.4133725407220068,0.5836800646874749,0.1570790501013071,0.13139025207889043,0.1570790501013071,-0.19551525030176808,0.13139025207889043,0.11588856438286678,0.11891635778738897,-0.026126766007033453,0.1318963836833607,0.2648219420961128,0.2502424814057824,0.05505382437320472,0.13235289764961142,0.27995643203696996,0.2891104164608669,-0.032697889301175564,0.1464029149154566
1075,0,False,0.4817179728779897,0.03194265247559145,0.6645071726052754,0.023919725187633967,0.4228846901906177,0.5837949867221315,0.16063231708862644,0.17009149049446814,0.16063231708862644,0.05561226712955014,0.17009149049446814,0.1509967353063629,0.12944895847941604,0.14270359410902345,0.1696246983775068,0.289711289296696,0.25328760402559614,0.12572407985730238,0.1698103745275593,0.2998847060058706,0.29271154625023577,0.023919725187633967,0.1814741099684333
1076,0,False,0.35059543274659477,0.027295000758761217,0.45441925034706154,-0.062095900108142255,0.4201457760550669,0.5833676205736325,0.169646335659558,0.15980740732406892,0.169646335659558,-0.061567411049582965,0.15980740732406892,0.13848619574959087,0.14187393324442163,-0.024462636701757745,0.15850871664032926,0.2883584167673539,0.25785035612502166,0.1057990988587858,0.16267673762337748,0.28340674252491327,0.30100513929871425,-0.062095900108142255,0.15839723212771212
1077,0,False,0.4330019715562543,0.030667735962197185,0.6200832947709394,-0.06202591615957598,0.4156809901865742,0.583598397961166,0.15569433803713276,0.1466012605418743,0.15569433803713276,-0.06202591615957598,0.1466012605418743,0.12982159954029107,0.1286480263331828,0.009039891753483076,0.14791841070019915,0.2822147367378068,0.2602870110594941,0.07769872662136978,0.15073252510357785,0.28324353168300975,0.2938223483678607,-0.03734883766627428,0.15748513754681534
1078,0,False,0.3621679552343207,0.0271942674899326,0.44701527070800556,-0.013094563359637323,0.4258868888820913,0.583570703361938,0.15692288100224577,0.1562798495771043,0.15692288100224577,-0.004114615075977657,0.1562798495771043,0.13433929510561377,0.13272252721956065,0.012034958831532161,0.15762973842717193,0.2901309918506114,0.25836474438040624,0.10948932848429249,0.16052398263601467,0.2896621174959873,0.2934551164464252,-0.013094563359637323,0.16732008584291616
1079,0,False,0.42390718763299706,0.02979323319122491,0.5798241554835725,-0.03268616447097039,0.43800959232501985,0.5835050759727342,0.16533779001026871,0.1655010887145568,0.16533779001026871,0.0009866926287700473,0.1655010887145568,0.14945743650701965,0.14254985652569907,0.04621770681177273,0.1672474476706518,0.2882030497782385,0.2577337441079172,0.1057216628823543,0.16955937745920058,0.28947018812073927,0.2989318582990965,-0.03268616447097039,0.17555579094629978
1080,0,False,0.43257438970591117,0.030130923718273167,0.5946321147616844,-0.029404703168310675,0.4407974327556216,0.5832158777892371,0.17022467756742488,0.16770807715486669,0.17022467756742488,-0.015005839046346559,0.16770807715486669,0.15783843572156483,0.14436422790448294,0.08536708917244396,0.17002524654621406,0.29337645672219165,0.25040069967235995,0.14648672742859847,0.1713434624532383,0.2934929662820729,0.30212303983758426,-0.029404703168310675,0.1750141434651923
1081,0,False,0.44506867442105824,0.031486145496028406,0.6501619620546043,-0.07794622372658422,0.43371560511731344,0.5827054417885833,0.18238810448706655,0.16919963210829744,0.18238810448706655,-0.07794622372658422,0.16919963210829744,0.15388241245997322,0.15880391980221406,-0.03198226011384486,0.17154404034401818,0.2961606787612279,0.2586485598681125,0.12666137533861677,0.17267044662939446,0.2963920777933159,0.30393727202097726,-0.025456801287795816,0.17909006964154553
1082,0,False,0.4484100991845853,0.030898131929071888,0.6311892642295234,-0.03234684848534908,0.4251952161542834,0.5814649189808719,0.169071110009999,0.19695726006236872,0.169071110009999,0.1415847785633252,0.19695726006236872,0.18524595558957654,0.1540251522565195,0.16853703085549998,0.19758041672551827,0.2971962024347479,0.2608741281986117,0.12221580874375759,0.19801164705266205,0.2926771111790885,0.30214429334952814,-0.03234684848534908,0.1994891249213825
1083,0,False,0.3972149281164925,0.029510911731492905,0.5654789449329014,-0.08944382506240567,0.41308603168763464,0.5805028221433324,0.1760485550728048,0.18873204964973733,0.1760485550728048,0.0672037134152439,0.18873204964973733,0.17720532424266444,0.1547015656273719,0.12699256476332488,0.19207848305453026,0.29779549218691975,0.25805573987647307,0.1334464535329598,0.19030437201478892,0.2827702751316308,0.30806233015335266,-0.08944382506240567,0.1977043586017546
1084,0,False,0.48515000696713173,0.033139494927747856,0.7084683017121703,-0.04470543644655933,0.4432748704501432,0.5790776331584861,0.1979133588106916,0.2125065497406251,0.1979133588106916,0.06867172304921998,0.2125065497406251,0.19797552052380407,0.16722990874410396,0.15530006789906803,0.21493318105039663,0.2995889127061502,0.2606389215677214,0.1300114573219625,0.21092340191547218,0.28508344564633153,0.29782822550763977,-0.04470543644655933,0.21857387595751052
1085,0,False,0.39919457213390563,0.029342088652479035,0.5552984729291994,-0.06968606962790136,0.42451156557676295,0.5775748351013705,0.1935734070863537,0.22086747964046935,0.1935734070863537,0.12357669222533463,0.22086747964046935,0.19989949524079645,0.16825686587685787,0.15829269266449253,0.22121489883011866,0.312170390009047,0.2634269271562873,0.1561437740823115,0.22115873621216173,0.2898056776191559,0.31000109624828553,-0.06968606962790136,0.22413131425569133
1086,0,False,0.40073777941648503,0.029097993115317966,0.5451180009254974,-0.04692217450614744,0.4225543130558054,0.576502637675677,0.1798693118524637,0.20123638054422952,0.1798693118524637,0.1061789554849879,0.20123638054422952,0.18404120354867123,0.1527319993673312,0.17012062286943286,0.20289604980060005,0.3015264770304895,0.25979646410092355,0.13839584948072847,0.20104246034572024,0.28609901490743345,0.2995234028109569,-0.04692217450614744,0.21163218251633245
1087,0,False,0.46641127890534584,0.03262282259732721,0.6867191115224434,-0.06511844620371865,0.42587257005239726,0.5757753934164428,0.19437942425293853,0.1824955946878426,0.19437942425293853,-0.06511844620371865,0.1824955946878426,0.16914519900732047,0.15105709300240808,0.10693833529457464,0.18192353201699507,0.30225167192159863,0.26485547742502064,0.12372535198507761,0.18052304716195353,0.2883728425907381,0.29309715969934114,-0.016382669970444574,0.2010575854808501
1088,0,False,0.5226655144188888,0.03285955596855649,0.6982878297084683,0.09695707780179574,0.44434476224115943,0.5748614418176601,0.11823286087402114,0.19091096981598996,0.11823286087402114,0.3806911096414197,0.19091096981598996,0.17355572578492792,0.10105256306858564,0.4177514881081421,0.19279201455671113,0.30843820301639435,0.2571962519412343,0.16613360658321696,0.1891842028875319,0.29608883146443754,0.26738092359589727,0.09695707780179574,0.2150440246226908
1089,0,False,0.40334594113106015,0.027860233512160087,0.48218417399352154,0.06593755503129028,0.42472587624912306,0.5737563150722786,0.1332238745482957,0.1903482393786402,0.1332238745482957,0.30010450854085846,0.1903482393786402,0.16779754684444836,0.11389879509408334,0.3212129900822104,0.19200371852192114,0.3088596306089591,0.2624547878835694,0.15024573666003616,0.19116249266771437,0.2946053447907857,0.275179788656131,0.06593755503129028,0.20418529260704288
1090,0,False,0.50811919723073,0.0332385697697718,0.7130957889865803,0.03626110684914652,0.4069297068269576,0.5734965212381526,0.13088977821041134,0.1631710389479618,0.13088977821041134,0.1978369503907219,0.1631710389479618,0.1411178480197338,0.11397331969141787,0.1923536158553102,0.16744836117587492,0.30578343398093316,0.2627751115275952,0.1406496156231266,0.1622282631695935,0.29110426926219307,0.280548506250234,0.03626110684914652,0.18948970161604262
1091,0,False,0.518289138743129,0.034676627085972876,0.7626099028227672,-0.01975471655526473,0.42910602298324857,0.5734850852478056,0.13239871866517008,0.1298338870276702,0.13239871866517008,-0.01975471655526473,0.1298338870276702,0.1214982252504642,0.1140106198535692,0.061627282056668564,0.13539884520647022,0.29133184348469066,0.2626634101713978,0.09840473657250359,0.12905598733858184,0.28354517827874304,0.271673498145364,0.041868742771243306,0.14931914911753955
