backbone,arm_id,dataset,horizon,mse,mae,profile_id,checkpoint_sha256,evidence_role
dlinear_style,dlinear_original,ETTm2,96,0.2115510391975325,0.29579389762319164,v1_shared_backbone_dataset_profile,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm2,192,0.26988915762102234,0.3309785722065065,v1_shared_backbone_dataset_profile,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm2,336,0.33242197665477696,0.36812279778413337,v1_shared_backbone_dataset_profile,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm2,720,0.42987050009670597,0.4216154133359953,v1_shared_backbone_dataset_profile,b58be6cf2cd446b70d3c88e188e5d5199168b65ed0cdbbbc5681db8b620bf362,strict_matched_v2p1
patchtst_style,patchtst_iscf,Weather,96,0.1562054243887924,0.1950253940462543,p04_lr4p00,ada2b767055dd70650aafb055f10fc51164c56fbeac5405a1d075859dab4e608,strict_matched_v2p1
patchtst_style,patchtst_iscf,Weather,192,0.19904170152375544,0.23664018003764434,p04_lr4p00,ada2b767055dd70650aafb055f10fc51164c56fbeac5405a1d075859dab4e608,strict_matched_v2p1
patchtst_style,patchtst_iscf,Weather,336,0.2507420236290618,0.2764737930525827,p04_lr4p00,ada2b767055dd70650aafb055f10fc51164c56fbeac5405a1d075859dab4e608,strict_matched_v2p1
patchtst_style,patchtst_iscf,Weather,720,0.32645007212423643,0.32787905127122696,p04_lr4p00,ada2b767055dd70650aafb055f10fc51164c56fbeac5405a1d075859dab4e608,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Weather,96,0.1531672470385447,0.18763441076212287,p04_lr4p00,0e1784fc59ee5006f0d96332b2c9faf3c17b622734eefe1225235ac9a43babe9,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Weather,192,0.19741831386139622,0.23130396391087113,p04_lr4p00,0e1784fc59ee5006f0d96332b2c9faf3c17b622734eefe1225235ac9a43babe9,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Weather,336,0.24906102931149507,0.2719700579804784,p04_lr4p00,0e1784fc59ee5006f0d96332b2c9faf3c17b622734eefe1225235ac9a43babe9,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Weather,720,0.3270204354605581,0.3250831173804816,p04_lr4p00,0e1784fc59ee5006f0d96332b2c9faf3c17b622734eefe1225235ac9a43babe9,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm1,96,0.28677287476833735,0.33848290735248143,p01_lr0p25,97ed4008d5d39022bb601161208642a59b443801f0fbc5256a15568b0dd72c3f,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm1,192,0.32799376498067706,0.3637743402441633,p01_lr0p25,97ed4008d5d39022bb601161208642a59b443801f0fbc5256a15568b0dd72c3f,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm1,336,0.37268227717957214,0.3885697468600206,p01_lr0p25,97ed4008d5d39022bb601161208642a59b443801f0fbc5256a15568b0dd72c3f,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm1,720,0.430500865135682,0.42039814094672195,p01_lr0p25,97ed4008d5d39022bb601161208642a59b443801f0fbc5256a15568b0dd72c3f,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm1,96,0.28381333760242944,0.33771684348725095,p01_lr0p25,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm1,192,0.3247473685724886,0.362967637971487,p01_lr0p25,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm1,336,0.36921606288592485,0.3873590496615178,p01_lr0p25,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm1,720,0.4272723723806223,0.4194877786757484,p01_lr0p25,1db5acc9f4723898e94ffc6d226585570ee086f217b22289ab71a2bc6655f261,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm2,96,0.17254192741353594,0.2566866904730285,p01_lr0p25,631fad2ab2831dafa643271fe05be64a5c2840bfa256247d9ca424fc4f77c346,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm2,192,0.22914665919597357,0.2948498350846878,p01_lr0p25,631fad2ab2831dafa643271fe05be64a5c2840bfa256247d9ca424fc4f77c346,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm2,336,0.27919724896884096,0.3286172058766575,p01_lr0p25,631fad2ab2831dafa643271fe05be64a5c2840bfa256247d9ca424fc4f77c346,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm2,720,0.3635555755013748,0.3813720944536238,p01_lr0p25,631fad2ab2831dafa643271fe05be64a5c2840bfa256247d9ca424fc4f77c346,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm2,96,0.16898165995646655,0.25631081947076034,p01_lr0p25,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm2,192,0.22452822450424992,0.29417785938919744,p01_lr0p25,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm2,336,0.27569382026485906,0.32815086541323174,p01_lr0p25,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm2,720,0.3628935999223374,0.3815419703329277,p01_lr0p25,f303cbe2428afbf5601778fd19f70ba53f4fd54362a50a28ca1e417b81a5b3b5,strict_matched_v2p1
