split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
validation,TARGET_SHUFFLED_QUERY,ETTm2,192,0.18103994925816855,0.20123654781352907,0.10036247776460169,0.3071589184304078,0.32279611840134576,0.04844296160803134
validation,TARGET_SHUFFLED_QUERY,ETTm2,336,0.2225045203959861,0.23318758211573776,0.04581316733431095,0.3353028974565519,0.34424973750601007,0.02598938815255298
validation,TARGET_SHUFFLED_QUERY,ETTm2,720,0.29302416377597384,0.29120365267708187,-0.006251676729174666,0.37926674040537034,0.3789703963294862,-0.0007819715702186073
validation,TARGET_SHUFFLED_QUERY,Weather,96,0.4264797481989104,0.6126473510549182,0.3038740027773655,0.30969224491762737,0.46768330108551753,0.3378163295571696
validation,TARGET_SHUFFLED_QUERY,Weather,192,0.48167480161738774,0.6414716835059817,0.2491097986043898,0.34706699375122313,0.48089806238810223,0.27829404837333815
validation,TARGET_SHUFFLED_QUERY,Weather,336,0.542418879175943,0.681909490334474,0.20455883535234476,0.3872755387472728,0.5007571400968936,0.22662003646650516
validation,TARGET_SHUFFLED_QUERY,Weather,720,0.6142449807868433,0.7324152446928478,0.16134326089233905,0.42926642453228986,0.522715482762251,0.17877614364154004
validation,GENERIC_MATCHED,ETTh1,96,1.3114316867930549,1.354286410269283,0.031643766895443536,0.8296151168289638,0.838619990008218,0.010737727798696873
validation,GENERIC_MATCHED,ETTh1,192,1.572896381219228,1.5817837473892031,0.005618572187660954,0.9063060006925038,0.9024672153450194,-0.004253656290457922
validation,GENERIC_MATCHED,ETTh1,336,1.7594608125232516,1.7918089814737541,0.01805335796670486,0.9577513738554351,0.9621538280629788,0.0045756240625335195
validation,GENERIC_MATCHED,ETTh1,720,1.8545549105084131,1.9543008335052974,0.05103918561912329,0.9793074085598901,1.001149500740899,0.021817013507817524
validation,GENERIC_MATCHED,ETTh2,96,0.28015661310581935,0.3154909495441687,0.11199794000240416,0.3856023695497286,0.4048969710157031,0.047653113871346305
validation,GENERIC_MATCHED,ETTh2,192,0.34419348356979235,0.3778088559352216,0.088974548471656,0.42220241469996317,0.4387766449224381,0.037773729331935506
validation,GENERIC_MATCHED,ETTh2,336,0.44721428309979083,0.4654124085189534,0.03910107484472333,0.47662091092998476,0.48433208222291907,0.01592124820132224
validation,GENERIC_MATCHED,ETTh2,720,0.7195389225369409,0.6933412578370836,-0.037784661454566194,0.6051887746841188,0.5937083796849326,-0.01933675755979487
validation,GENERIC_MATCHED,ETTm1,96,0.49951186243976864,0.5062961755763917,0.013399890151055362,0.4941526793298267,0.5017899210963931,0.015219998340897883
validation,GENERIC_MATCHED,ETTm1,192,0.6086349338293076,0.6099936128372238,0.0022273659581395636,0.541037841921761,0.5476753424320903,0.012119407240161306
validation,GENERIC_MATCHED,ETTm1,336,0.740257427805946,0.7415019571781158,0.00167838986818878,0.5916597612050115,0.5978075809219257,0.010283944053424525
validation,GENERIC_MATCHED,ETTm1,720,0.993336030036684,1.0017548110749988,0.008404033547171489,0.6776518840638418,0.685096501925635,0.01086652441060233
validation,GENERIC_MATCHED,ETTm2,96,0.14902098778457867,0.1616230093474899,0.07797170473306098,0.2817703088124593,0.2933838257477397,0.03958472116068884
