dataset,left_group,right_group,parameter_group,batches,mean_gradient_cosine,min_gradient_cosine,negative_share,low_conflict_share_lt_0p1
Weather,full_1_720,learnable_hard,all_shared,16,0.41330115403980017,-0.2972167432308197,0.0625,0.0625
Weather,full_1_720,learnable_hard,encoder,16,0.525677777826786,-0.45664364099502563,0.0625,0.125
Weather,full_1_720,learnable_hard,readout_head,16,0.4025547346100211,-0.293498158454895,0.0625,0.0625
Weather,full_1_720,learnable_hard,target_path,16,0.5125378030352294,-0.0773375928401947,0.0625,0.0625
Weather,full_1_720,middle_193_336,all_shared,16,0.8351444117724895,0.5831718444824219,0.0,0.0
Weather,full_1_720,middle_193_336,encoder,16,0.8557201642543077,0.49264630675315857,0.0,0.0
Weather,full_1_720,middle_193_336,readout_head,16,0.835222490131855,0.5906463265419006,0.0,0.0
Weather,full_1_720,middle_193_336,target_path,16,0.7784439027309418,0.5150413513183594,0.0,0.0
Weather,full_1_720,middle_97_192,all_shared,16,0.5795762995257974,0.24872450530529022,0.0,0.0
Weather,full_1_720,middle_97_192,encoder,16,0.6140859741717577,0.15366128087043762,0.0,0.0
Weather,full_1_720,middle_97_192,readout_head,16,0.5740502383559942,0.2556471824645996,0.0,0.0
Weather,full_1_720,middle_97_192,target_path,16,0.6467225961387157,0.1605457365512848,0.0,0.0
Weather,full_1_720,noisy_hard,all_shared,15,0.5614860634009043,0.26661670207977295,0.0,0.0
Weather,full_1_720,noisy_hard,encoder,15,0.644492078324159,0.07770095020532608,0.0,0.06666666666666667
Weather,full_1_720,noisy_hard,readout_head,15,0.5517575005690257,0.26104608178138733,0.0,0.0
Weather,full_1_720,noisy_hard,target_path,15,0.6653767238060634,0.20570959150791168,0.0,0.0
Weather,full_1_720,predictable_easy,all_shared,16,0.8349265642464161,0.5338166356086731,0.0,0.0
Weather,full_1_720,predictable_easy,encoder,16,0.8875355385243893,0.5338547229766846,0.0,0.0
Weather,full_1_720,predictable_easy,readout_head,16,0.8274577036499977,0.5300154685974121,0.0,0.0
Weather,full_1_720,predictable_easy,target_path,16,0.9295643046498299,0.7263274788856506,0.0,0.0
Weather,late_337_720,learnable_hard,all_shared,16,0.44505007518455386,-0.3576638698577881,0.0625,0.0625
Weather,late_337_720,learnable_hard,encoder,16,0.5395530494861305,-0.6257893443107605,0.0625,0.0625
Weather,late_337_720,learnable_hard,readout_head,16,0.43672442669048905,-0.33983147144317627,0.0625,0.0625
Weather,late_337_720,learnable_hard,target_path,16,0.5015611909329891,-0.2777411937713623,0.125,0.125
Weather,late_337_720,middle_193_336,all_shared,16,0.672760620713234,0.21162372827529907,0.0,0.0
Weather,late_337_720,middle_193_336,encoder,16,0.7131920782849193,0.20476260781288147,0.0,0.0
Weather,late_337_720,middle_193_336,readout_head,16,0.6715487977489829,0.2126128226518631,0.0,0.0
Weather,late_337_720,middle_193_336,target_path,16,0.5996103920042515,0.1639437973499298,0.0,0.0
Weather,late_337_720,middle_97_192,all_shared,16,0.32860884279944,-0.16307207942008972,0.0625,0.1875
Weather,late_337_720,middle_97_192,encoder,16,0.3522446062415838,-0.39509931206703186,0.1875,0.25
Weather,late_337_720,middle_97_192,readout_head,16,0.3234171662479639,-0.1449151188135147,0.0625,0.25
Weather,late_337_720,middle_97_192,target_path,16,0.4054419887252152,-0.20701734721660614,0.125,0.1875
Weather,late_337_720,noisy_hard,all_shared,15,0.48661356369654335,0.07973148673772812,0.0,0.13333333333333333
Weather,late_337_720,noisy_hard,encoder,15,0.5491540024677912,-0.2534334361553192,0.06666666666666667,0.13333333333333333
Weather,late_337_720,noisy_hard,readout_head,15,0.47872146020332973,0.08812255412340164,0.0,0.13333333333333333
Weather,late_337_720,noisy_hard,target_path,15,0.5731343348821004,-0.11021071672439575,0.06666666666666667,0.13333333333333333
Weather,late_337_720,predictable_easy,all_shared,16,0.7154416721314192,0.3372475504875183,0.0,0.0
Weather,late_337_720,predictable_easy,encoder,16,0.7786841001361609,0.31875744462013245,0.0,0.0
Weather,late_337_720,predictable_easy,readout_head,16,0.7061344273388386,0.3333760201931,0.0,0.0
Weather,late_337_720,predictable_easy,target_path,16,0.8315364718437195,0.5693162679672241,0.0,0.0
Weather,learnable_hard,middle_193_336,all_shared,16,0.36812641099095345,-0.3265921473503113,0.125,0.125
Weather,learnable_hard,middle_193_336,encoder,16,0.480195683427155,-0.349704384803772,0.125,0.125
Weather,learnable_hard,middle_193_336,readout_head,16,0.3584518386051059,-0.33278635144233704,0.125,0.125
Weather,learnable_hard,middle_193_336,target_path,16,0.4218076174147427,-0.1453772783279419,0.125,0.1875
Weather,learnable_hard,middle_97_192,all_shared,16,-0.2065762395504862,-0.6381339430809021,0.875,0.875
Weather,learnable_hard,middle_97_192,encoder,16,0.015641505597159266,-0.5104687809944153,0.4375,0.5
Weather,learnable_hard,middle_97_192,readout_head,16,-0.23011211585253477,-0.6582540273666382,0.875,0.875
Weather,learnable_hard,middle_97_192,target_path,16,0.1929585076868534,-0.3067416250705719,0.3125,0.3125
Weather,learnable_hard,noisy_hard,all_shared,15,0.5123074438422919,-0.23339088261127472,0.2,0.26666666666666666
Weather,learnable_hard,noisy_hard,encoder,15,0.5497919296224912,-0.382319837808609,0.2,0.2
Weather,learnable_hard,noisy_hard,readout_head,15,0.5110041100687037,-0.24197590351104736,0.26666666666666666,0.26666666666666666
Weather,learnable_hard,noisy_hard,target_path,15,0.43307947715123496,-0.15361295640468597,0.06666666666666667,0.06666666666666667
