dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,mean_mse_target_ratio,mean_mae_target_ratio,primary_joint_score,mse_lead_cells,mae_lead_cells,combined_lead_cells,validation_mean_mse_4h,trainable_parameters,near_tie_eligible,selected
Weather,H4N,Weather__h4n_seq544_p17_lr4e5,h4n_seq544_p17_lr4e5,0.2175418320037033,0.24726790429015166,1.010509944482696,1.0125179333382335,1.0115139389104648,0,1,1,0.4962404807419738,3551381,False,False
Weather,H4N,Weather__h4n_seq576_p18_lr2e5,h4n_seq576_p18_lr2e5,0.21558670056547877,0.24713464695598986,1.0002492647521397,1.0121475064328653,1.0061983855925025,2,1,3,0.49592798291890333,3747989,False,False
Weather,H4N,Weather__h4n_seq576_p18_lr4e5,h4n_seq576_p18_lr4e5,0.21775018412244884,0.24707410215143918,1.010816799051152,1.0116630786380398,1.011239938844596,0,1,1,0.4956186606663294,3747989,False,False
Weather,H4N,Weather__h4n_seq608_p19_lr2e5,h4n_seq608_p19_lr2e5,0.2148870747075069,0.24582054985665638,0.9972817479106667,1.0066307253381528,1.0019562366244097,3,1,4,0.4925387981988948,3944597,True,True
Weather,H4N,Weather__h4n_seq608_p19_lr4e5,h4n_seq608_p19_lr4e5,0.21599038740358042,0.24776895778160196,1.0020625416349127,1.014769719155198,1.0084161303950554,1,1,2,0.4933913543029496,3944597,False,False
Weather,H4N,Weather__h4n_seq640_p10_lr4e5,h4n_seq640_p10_lr4e5,0.21845408579833847,0.2492187002143736,1.0129452318908934,1.0200904367639843,1.0165178343274388,0,0,0,0.4882119132930206,2177173,False,False
Weather,H4N,Weather__h4n_seq640_p16_lr4e5,h4n_seq640_p16_lr4e5,0.21678020082006588,0.24696491233960194,1.0059882818444714,1.0112410600171144,1.0086146709307928,1,1,2,0.4903331923897245,3355285,False,False
Weather,H4N,Weather__h4n_seq640_p20_lr2e5,h4n_seq640_p20_lr2e5,0.21592344540869013,0.2465061597555755,1.0021545136305052,1.009581594252913,1.005868053941709,1,1,2,0.4902896524992742,4141205,False,False
Weather,H4N,Weather__h4n_seq640_p20_lr3e5,h4n_seq640_p20_lr3e5,0.21547645857296335,0.24786868745632215,0.9999565519895814,1.0150632482304602,1.007509900110021,2,1,3,0.4915539649276373,4141205,False,False
Weather,H4N,Weather__h4n_seq640_p20_lr4e5,h4n_seq640_p20_lr4e5,0.21625374897879507,0.24789060840922852,1.0038688019035853,1.0153371301979173,1.0096029660507513,1,1,2,0.49162317549030016,4141205,False,False
Weather,H4N,Weather__h4n_seq640_p32_lr4e5,h4n_seq640_p32_lr4e5,0.21571048440598317,0.24793465043439228,1.0016066805960764,1.0158161492160303,1.0087114149060534,2,1,3,0.49244138557678235,6499733,False,False
Weather,H4N,Weather__h4n_seq640_p8_lr4e5,h4n_seq640_p8_lr4e5,0.21690243441642676,0.24920404339101498,1.0063675129823402,1.0205943081454272,1.0134809105638838,1,0,1,0.489558704926758,1784981,False,False
Weather,H4N,Weather__h4n_seq672_p21_lr2e5,h4n_seq672_p21_lr2e5,0.21758378382519958,0.2477853875733369,1.009455540055853,1.0142469978724025,1.0118512689641277,0,0,0,0.4897795906935316,4337813,False,False
Weather,H4N,Weather__h4n_seq672_p21_lr4e5,h4n_seq672_p21_lr4e5,0.2172124440678223,0.2484511131536351,1.0077339396877596,1.017468315595875,1.0126011276418172,0,0,0,0.4885108742574673,4337813,False,False
Weather,H4N,Weather__h4n_seq704_p22_lr2e5,h4n_seq704_p22_lr2e5,0.2157150038751429,0.2482846131326591,1.0017048867705856,1.0169120756949634,1.0093084812327744,2,0,2,0.48932925544342853,4534421,False,False
