model,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,value_origin,system_role
TVNet,ECL,336,0.164,0.269,0.164,0.269,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ECL,336,0.167,0.264,0.167,0.264,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ECL,336,0.171,0.26,0.171,0.260,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ECL,336,0.173,0.268,0.173,0.268,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ECL,336,0.161,0.259,0.161,0.259,second,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ECL,336,0.163,0.259,0.163,0.259,normal,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ECL,336,0.182,0.282,0.182,0.282,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ECL,336,0.198,0.3,0.198,0.300,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ECL,336,0.17,0.267,0.170,0.267,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ECL,720,0.19,0.278,0.190,0.278,second,best,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ECL,720,0.19,0.284,0.190,0.284,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ECL,720,0.194,0.286,0.194,0.286,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ECL,720,0.209,0.313,0.209,0.313,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ECL,720,0.186,0.282,0.186,0.282,best,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ECL,720,0.191,0.286,0.191,0.286,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ECL,720,0.197,0.29,0.197,0.290,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ECL,720,0.246,0.337,0.246,0.337,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ECL,720,0.22,0.32,0.220,0.320,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ECL,720,0.203,0.301,0.203,0.301,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Solar,96,0.182,0.205,0.182,0.205,normal,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Solar,96,0.204,0.26,0.204,0.260,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Solar,96,0.188,0.232,0.188,0.232,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Solar,96,0.179,0.232,0.179,0.232,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Solar,96,0.197,0.241,0.197,0.241,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Solar,96,0.202,0.263,0.202,0.263,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Solar,96,0.178,0.229,0.178,0.229,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Solar,96,0.183,0.208,0.183,0.208,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Solar,96,0.219,0.314,0.219,0.314,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Solar,96,0.197,0.21,0.197,0.210,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Solar,192,0.198,0.217,0.198,0.217,normal,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Solar,192,0.227,0.272,0.227,0.272,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Solar,192,0.193,0.248,0.193,0.248,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Solar,192,0.201,0.259,0.201,0.259,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Solar,192,0.231,0.264,0.231,0.264,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Solar,192,0.223,0.279,0.223,0.279,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Solar,192,0.189,0.246,0.189,0.246,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Solar,192,0.208,0.226,0.208,0.226,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Solar,192,0.231,0.322,0.231,0.322,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Solar,192,0.218,0.222,0.218,0.222,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Solar,336,0.203,0.222,0.203,0.222,normal,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Solar,336,0.241,0.288,0.241,0.288,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Solar,336,0.203,0.249,0.203,0.249,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Solar,336,0.19,0.256,0.190,0.256,best,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Solar,336,0.216,0.272,0.216,0.272,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Solar,336,0.241,0.292,0.241,0.292,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Solar,336,0.198,0.249,0.198,0.249,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Solar,336,0.212,0.239,0.212,0.239,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Solar,336,0.246,0.337,0.246,0.337,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Solar,336,0.234,0.231,0.234,0.231,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Solar,720,0.201,0.223,0.201,0.223,best,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Solar,720,0.242,0.287,0.242,0.287,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Solar,720,0.223,0.261,0.223,0.261,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Solar,720,0.203,0.261,0.203,0.261,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Solar,720,0.25,0.281,0.250,0.281,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Solar,720,0.247,0.292,0.247,0.292,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Solar,720,0.209,0.256,0.209,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Solar,720,0.215,0.256,0.215,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Solar,720,0.28,0.363,0.280,0.363,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Solar,720,0.243,0.241,0.243,0.241,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
QDF,ETTh1,96,0.37043389678001404,0.3935897648334503,0.370,0.394,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh1,192,0.42239654064178467,0.4272468686103821,0.422,0.427,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh1,336,0.4636939764022827,0.4550248980522156,0.464,0.455,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh1,720,0.4989432990550995,0.49280017614364624,0.499,0.493,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh2,96,0.28264811635017395,0.3424420952796936,0.283,0.342,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh2,192,0.3593428432941437,0.39125922322273254,0.359,0.391,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh2,336,0.3611879348754883,0.40096795558929443,0.361,0.401,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTh2,720,0.40693315863609314,0.43962332606315613,0.407,0.440,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm1,96,0.28283533453941345,0.3359886407852173,0.283,0.336,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm1,192,0.3363930583000183,0.3689405918121338,0.336,0.369,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm1,336,0.36910462379455566,0.3897988200187683,0.369,0.390,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm1,720,0.4228467345237732,0.4241206645965576,0.423,0.424,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm2,96,0.1644393503665924,0.2531222701072693,0.164,0.253,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm2,192,0.21754667162895203,0.290833443403244,0.218,0.291,second,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm2,336,0.2821751534938812,0.3304235637187958,0.282,0.330,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ETTm2,720,0.3638134300708771,0.38532817363739014,0.364,0.385,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Weather,96,0.1523500680923462,0.20202350616455078,0.152,0.202,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Weather,192,0.20498406887054443,0.25052669644355774,0.205,0.251,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Weather,336,0.2480396181344986,0.2822582721710205,0.248,0.282,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Weather,720,0.3410804271697998,0.35111936926841736,0.341,0.351,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ECL,96,0.1268039494752884,0.22215135395526886,0.127,0.222,second,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ECL,192,0.15052081644535065,0.24377918243408203,0.151,0.244,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ECL,336,0.16678288578987122,0.26032811403274536,0.167,0.260,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,ECL,720,0.22251302003860474,0.31353291869163513,0.223,0.314,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Solar,96,0.1931203454732895,0.23155607283115387,0.193,0.232,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Solar,192,0.20689527690410614,0.2605019509792328,0.207,0.261,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Solar,336,0.20987465977668762,0.26295748353004456,0.210,0.263,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
QDF,Solar,720,0.2226044237613678,0.27768149971961975,0.223,0.278,normal,normal,official_code_local_single_seed_l336,horizon_specific_official_native
AMD,ETTh1,96,0.3708362579345703,0.39870402216911316,0.371,0.399,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh1,192,0.4033381938934326,0.4204096496105194,0.403,0.420,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh1,336,0.4227767884731293,0.4315965175628662,0.423,0.432,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh1,720,0.4515272080898285,0.46108269691467285,0.452,0.461,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh2,96,0.27889958024024963,0.34325075149536133,0.279,0.343,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh2,192,0.3630034923553467,0.39710813760757446,0.363,0.397,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh2,336,0.3807739317417145,0.4189172685146332,0.381,0.419,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTh2,720,0.44193533062934875,0.4665042757987976,0.442,0.467,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm1,96,0.28867924213409424,0.34349048137664795,0.289,0.343,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm1,192,0.32891783118247986,0.3659360110759735,0.329,0.366,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm1,336,0.3650975823402405,0.3861110508441925,0.365,0.386,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm1,720,0.42269816994667053,0.41704830527305603,0.423,0.417,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm2,96,0.1675199270248413,0.25797927379608154,0.168,0.258,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm2,192,0.2214583158493042,0.29470470547676086,0.221,0.295,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm2,336,0.2704958915710449,0.3273681700229645,0.270,0.327,second,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ETTm2,720,0.3553587794303894,0.3814344108104706,0.355,0.381,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Weather,96,0.1484117954969406,0.2029203176498413,0.148,0.203,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Weather,192,0.19259639084339142,0.24345692992210388,0.193,0.243,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Weather,336,0.24244390428066254,0.2811304032802582,0.242,0.281,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Weather,720,0.31507608294487,0.3323940336704254,0.315,0.332,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ECL,96,0.13076861202716827,0.22767512500286102,0.131,0.228,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ECL,192,0.15080778300762177,0.24434037506580353,0.151,0.244,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ECL,336,0.1666347235441208,0.2622339427471161,0.167,0.262,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,ECL,720,0.2002936750650406,0.29212602972984314,0.200,0.292,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Solar,96,0.18835881352424622,0.23512186110019684,0.188,0.235,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Solar,192,0.2034941017627716,0.24603170156478882,0.203,0.246,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Solar,336,0.21279163658618927,0.2523577809333801,0.213,0.252,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
AMD,Solar,720,0.21470476686954498,0.25669339299201965,0.215,0.257,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh1,96,0.36720109979311627,0.39333250125249225,0.367,0.393,second,second,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh1,192,0.428675244251887,0.42704078555107117,0.429,0.427,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh1,336,0.4468363622824351,0.4453867971897125,0.447,0.445,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh1,720,0.4697480897108714,0.4654572208722432,0.470,0.465,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh2,96,0.28459646304448444,0.3416052560011546,0.285,0.342,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh2,192,0.35688628753026325,0.38661274313926697,0.357,0.387,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh2,336,0.3687395552794139,0.4020097454388936,0.369,0.402,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTh2,720,0.4144321878751119,0.43642499049504596,0.414,0.436,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm1,96,0.32546422878901166,0.3629484176635742,0.325,0.363,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm1,192,0.36059682567914325,0.3805159827073415,0.361,0.381,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm1,336,0.39141501983006793,0.4044116934140523,0.391,0.404,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm1,720,0.4542526602745056,0.43794772028923035,0.454,0.438,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm2,96,0.17496037979920706,0.2583611110846202,0.175,0.258,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm2,192,0.24023511509100595,0.3005947371323903,0.240,0.301,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm2,336,0.3048152029514313,0.3422146538893382,0.305,0.342,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ETTm2,720,0.40076593557993573,0.3991514941056569,0.401,0.399,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,Weather,96,0.1574239432811737,0.20363392432530722,0.157,0.204,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,Weather,192,0.2049044817686081,0.2479306012392044,0.205,0.248,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,Weather,336,0.26390540599823,0.2906342049439748,0.264,0.291,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,Weather,720,0.3457577129205068,0.34370551506678265,0.346,0.344,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ECL,96,0.14332573115825653,0.23710963129997253,0.143,0.237,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ECL,192,0.15083545943101248,0.24759031335512796,0.151,0.248,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ECL,336,0.17627409100532532,0.2694389323393504,0.176,0.269,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,ECL,720,0.20076404015223184,0.29349027077356976,0.201,0.293,normal,normal,official_code_local_native_reproduction,horizon_specific_official_native
SimpleTM,Solar,96,0.169,0.229,0.169,0.229,second,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
SimpleTM,Solar,192,0.189,0.252,0.189,0.252,second,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
SimpleTM,Solar,336,0.199,0.262,0.199,0.262,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
SimpleTM,Solar,720,0.207,0.259,0.207,0.259,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
ISCF-BSCA,ECL,96,0.116,0.213,0.116,0.213,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ECL,192,0.136,0.231,0.136,0.231,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ECL,336,0.157,0.251,0.157,0.251,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ECL,720,0.195,0.28,0.195,0.280,normal,second,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh1,96,0.348,0.386,0.348,0.386,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh1,192,0.377,0.403,0.377,0.403,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh1,336,0.393,0.414,0.393,0.414,second,normal,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh1,720,0.443,0.458,0.443,0.458,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh2,96,0.241,0.314,0.241,0.314,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh2,192,0.282,0.345,0.282,0.345,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh2,336,0.31,0.369,0.310,0.369,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTh2,720,0.392,0.429,0.392,0.429,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm1,96,0.265,0.326,0.265,0.326,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm1,192,0.304,0.349,0.304,0.349,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm1,336,0.343,0.371,0.343,0.371,best,second,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm1,720,0.404,0.405,0.404,0.405,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm2,96,0.159,0.242,0.159,0.242,second,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm2,192,0.218,0.285,0.218,0.285,second,second,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm2,336,0.27,0.318,0.270,0.318,second,second,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,ETTm2,720,0.343,0.371,0.343,0.371,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Solar,96,0.166,0.195,0.166,0.195,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Solar,192,0.185,0.206,0.185,0.206,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Solar,336,0.195,0.213,0.195,0.213,second,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Solar,720,0.204,0.218,0.204,0.218,normal,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Weather,96,0.14,0.18,0.140,0.180,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Weather,192,0.181,0.223,0.181,0.223,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Weather,336,0.231,0.263,0.231,0.263,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
ISCF-BSCA,Weather,720,0.302,0.313,0.302,0.313,best,best,author_corrected_screenshot_20260815_three_decimal,one_unified_model_per_dataset
TimeAlign,ETTm1,Avg.,0.34075,0.36824999999999997,0.341,0.368,second,second,arithmetic_mean_of_four_horizon_rows,horizon_specific_official_native
TVNet,ETTm1,Avg.,0.34775,0.3785,0.348,0.379,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,ETTm1,Avg.,0.362,0.39075,0.362,0.391,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,ETTm1,Avg.,0.3555,0.38,0.356,0.380,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,ETTm1,Avg.,0.36025,0.39025,0.360,0.390,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,ETTm1,Avg.,0.35125,0.3805,0.351,0.381,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
PatchTST,ETTm1,Avg.,0.35275,0.37625,0.353,0.376,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Crossformer,ETTm1,Avg.,0.4155,0.435,0.416,0.435,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimesNet,ETTm1,Avg.,0.39925,0.40575,0.399,0.406,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
DLinear,ETTm1,Avg.,0.3555,0.37825,0.356,0.378,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeAlign,ETTm2,Avg.,0.2445,0.304,0.245,0.304,best,best,arithmetic_mean_of_four_horizon_rows,horizon_specific_official_native
TVNet,ETTm2,Avg.,0.2505,0.3105,0.251,0.311,normal,second,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,ETTm2,Avg.,0.26925,0.329,0.269,0.329,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,ETTm2,Avg.,0.25675000000000003,0.31825000000000003,0.257,0.318,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,ETTm2,Avg.,0.26525,0.32075,0.265,0.321,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,ETTm2,Avg.,0.25275000000000003,0.3135,0.253,0.314,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
PatchTST,ETTm2,Avg.,0.25625,0.3165,0.256,0.317,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Crossformer,ETTm2,Avg.,0.51825,0.50125,0.518,0.501,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimesNet,ETTm2,Avg.,0.29225,0.3305,0.292,0.331,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
DLinear,ETTm2,Avg.,0.259,0.32425000000000004,0.259,0.324,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeAlign,ETTh1,Avg.,0.41800000000000004,0.4305,0.418,0.431,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_official_native
TVNet,ETTh1,Avg.,0.40700000000000003,0.42125,0.407,0.421,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,ETTh1,Avg.,0.4385,0.448,0.439,0.448,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,ETTh1,Avg.,0.42725,0.44125000000000003,0.427,0.441,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,ETTh1,Avg.,0.415,0.43075,0.415,0.431,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,ETTh1,Avg.,0.4035,0.42,0.404,0.420,second,second,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
PatchTST,ETTh1,Avg.,0.4185,0.4365,0.419,0.437,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Crossformer,ETTh1,Avg.,0.4395,0.46325,0.440,0.463,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimesNet,ETTh1,Avg.,0.48825,0.45175,0.488,0.452,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
DLinear,ETTh1,Avg.,0.4245,0.43875,0.425,0.439,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeAlign,ETTh2,Avg.,0.34650000000000003,0.3865,0.347,0.387,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_official_native
TVNet,ETTh2,Avg.,0.3235,0.377,0.324,0.377,normal,second,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,ETTh2,Avg.,0.374,0.40575,0.374,0.406,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,ETTh2,Avg.,0.34925,0.39675,0.349,0.397,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,ETTh2,Avg.,0.34575,0.39175,0.346,0.392,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,ETTh2,Avg.,0.322,0.37875000000000003,0.322,0.379,second,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
