comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh1,336,0.6728644461903599,0.6778491108669673,0.7353649354547409
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh1,720,0.7136580576158126,0.7157493041003171,0.2921758320300727
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh2,96,0.27866008547169546,0.2877301653013372,3.1522867336981286
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh2,192,0.31493473078561707,0.32241711655349886,2.320716048783422
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh2,336,0.34333873598542186,0.3484533340385471,1.4678000046225548
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh2,720,0.4105088285661169,0.4182859244039625,1.8592774425597924
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm2,96,0.17304287737859902,0.18258508182430572,5.22616872658237
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm2,192,0.23254646342731775,0.23903739193802517,2.715444833999159
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm2,336,0.2873642296411532,0.292147299890563,1.6372118623726784
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm2,720,0.3694881450061676,0.3812829306729946,3.093447075117761
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,Weather,96,0.1916156874860743,0.19292960893971073,0.6810367060076428
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,Weather,192,0.23188150610588884,0.23323404274637985,0.579905327954966
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,Weather,336,0.27286576569004006,0.2738315254706835,0.35268392818665895
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,Weather,720,0.3220964248842008,0.32252720001589213,0.1335624194393814
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm1,96,0.38647517707792295,0.42627365155017616,9.33636745492551
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm1,192,0.407210946056066,0.4441298247970695,8.31263218088818
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm1,336,0.42721043484146126,0.46624350681819604,8.37182103470131
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTm1,720,0.46187417960577504,0.5080631509988136,9.091187050711024
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh1,96,0.5361332729119247,0.5515882045209054,2.8018966834877146
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh1,192,0.5406139825788677,0.5539131940045426,2.400955884355749
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh1,336,0.5461057623897121,0.5576780014641819,2.0750754098398994
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh1,720,0.5813984967631388,0.5859618392386826,0.7787780995214266
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mae,ETTh2,96,0.34741974372175727,0.3570179542025038,2.688439157685152
