dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,221,1.1276687521875175,1.1130348403529344,-1.3147757198636034,-1.7320266408608953
ETTh1,a6,222,1.1295957837153126,1.1146973170138694,-1.336548179855157,-1.7400043105148422
ETTh1,a6,223,1.1317281608757952,1.1164467898719515,-1.3687504986777288,-1.7536625148823815
ETTh1,a6,224,1.1336711903900973,1.1180605199187994,-1.3962276811662733,-1.7659229215113426
ETTh1,a6,225,1.1353225568268035,1.119672994878557,-1.3976903988779155,-1.7632810174365687
ETTh1,a6,226,1.1373479116411336,1.1214796539429015,-1.4149394188688547,-1.770168934823868
ETTh1,a6,227,1.1389520470922738,1.1232300568782285,-1.399712384633034,-1.7577943283072717
ETTh1,a6,228,1.1404737514492713,1.1249927697997344,-1.3760961016925366,-1.7384919847465374
ETTh1,a6,229,1.141999044077365,1.1266536996354182,-1.362028496148615,-1.72693281191163
ETTh1,a6,230,1.143703585927901,1.128282337344211,-1.3667898604164064,-1.7275159308763222
ETTh1,a6,231,1.145305620449962,1.1299543104646526,-1.358577939226313,-1.7190092415046987
ETTh1,a6,232,1.1467732019594004,1.1316236830477058,-1.338741768897389,-1.708525568496877
ETTh1,a6,233,1.14836608832742,1.133256968766323,-1.333247443211838,-1.7003807094038148
ETTh1,a6,234,1.1498896192409034,1.1348695110561502,-1.32350971088957,-1.6930888512968867
ETTh1,a6,235,1.1515503485786154,1.1365289000754661,-1.3216952514055524,-1.6906393343277593
ETTh1,a6,236,1.1531932210644422,1.138168215499086,-1.3201041252735912,-1.687401620609874
ETTh1,a6,237,1.1548296347071854,1.1397851813694595,-1.3199376148801845,-1.6846470797912572
ETTh1,a6,238,1.1565461958281131,1.1413226931535898,-1.3338473655035488,-1.6879593131561066
ETTh1,a6,239,1.1580688791918454,1.1428502177094815,-1.3316409487907688,-1.6865121806493022
ETTh1,a6,240,1.1596296830102801,1.1444998549918333,-1.3219598021316337,-1.6784275463372245
ETTh1,a6,241,1.1611930050914219,1.1460712754874802,-1.3194405904213724,-1.6747461559969201
ETTh1,a6,242,1.1627323827590823,1.1477186889195246,-1.3081336031647073,-1.6665073728507895
ETTh1,a6,243,1.1644833983830463,1.1491975580713876,-1.3301316387507534,-1.6790896629486962
ETTh1,a6,244,1.1663174568751797,1.150750071543162,-1.352803333841357,-1.6951738495839308
ETTh1,a6,245,1.1678506479579576,1.1522985684628388,-1.3496571045701344,-1.6982463493224742
ETTh1,a6,246,1.1692728160963795,1.1538519692130205,-1.3364666607863729,-1.6878262139840006
ETTh1,a6,247,1.1709368873824957,1.1554258933916748,-1.3424481898436147,-1.6888411609878862
ETTh1,a6,248,1.1728600636725464,1.1569489070004033,-1.3752687414170683,-1.70508778295122
ETTh1,a6,249,1.174433849243275,1.1582997929619019,-1.3929085008395514,-1.7132922980880094
ETTh1,a6,250,1.1759386165738106,1.159686714887619,-1.4014044894673505,-1.7157685784554566
ETTh1,a6,251,1.1774371998362332,1.1611398641331738,-1.4035635332549479,-1.7135515782000121
ETTh1,a6,252,1.1788971304065652,1.1624958720945178,-1.4108659398933243,-1.7154273311024149
ETTh1,a6,253,1.1802348297221859,1.1641396522050789,-1.382581332627919,-1.6940552144742993
ETTh1,a6,254,1.1816198584718967,1.165552906868026,-1.3784832510987721,-1.691485467547249
ETTh1,a6,255,1.1831306483815698,1.1671135755146251,-1.3723662549192772,-1.687149170625113
