origin,channel,min_gain,visibility96,persistent_fraction96,accuracy_eligible,gain_h96,gain_h192,gain_h336,gain_h720,fit_eligible,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,audited_eligible,channel_name,dominant_period,prominent_peaks,high_frequency_share,normalized_mae_advantage,visible_win_fraction,visible_loss_fraction,visible_net,tail_visible_net,less_dense,clearer_same_density
652,0,0.1480478375063089,0.0953599437116466,0.40625,True,0.1873297923656022,0.2796622068166836,0.1480478375063089,0.1844931678174397,True,0.6312196705601375,0.806134952875824,0.9222551699554522,0.0717634090142699,0.6233208325523147,0.8042095952794528,0.940992575747937,0.0687215893397723,0.6581601317818043,0.8256930565049604,0.8133374558135288,0.1531542716030257,True,HUFL,24.0,26,0.8747716680121279,0.016329590837001633,0.2125,0.08611111111111111,0.12638888888888888,0.11458333333333333,False,False
653,0,0.1493929638860947,0.097960286643221,0.3958333333333333,True,0.1794230854274563,0.2176456567373954,0.1493929638860947,0.2438183269087251,True,0.634137286395746,0.8052856194155024,0.8937003679112182,0.0808113524828185,0.6261633635409584,0.8022835867848768,0.908375469082462,0.078994320011023,0.6530177729165009,0.8258202464998466,0.7912260570133963,0.1666269746059812,True,HUFL,24.0,26,0.8747253721819538,0.0226176406624371,0.2625,0.1,0.1625,0.18229166666666663,False,False
654,0,0.1452346539508576,0.101428878294342,0.46875,True,0.1662788079119714,0.2368237067523576,0.1452346539508576,0.2995549213585718,True,0.6305890416854629,0.8060295033713673,0.8870426810885454,0.1119436628657229,0.6234729463587919,0.8038136067815311,0.8960778239014008,0.1188725465681604,0.644001348088493,0.8290304211745622,0.7821926463535499,0.202722258260397,True,HUFL,24.0,26,0.8746261950199474,0.02782752313382243,0.2625,0.09027777777777778,0.17222222222222222,0.19270833333333331,False,False
655,0,0.1253843532991495,0.1067693610157038,0.5104166666666666,True,0.1253843532991495,0.3283200043093239,0.1321736644244971,0.3849930233029011,True,0.6306741343020998,0.8059404356306035,0.8945922791154458,0.104912831098422,0.6267140034114271,0.8031636032160752,0.8925656071721236,0.1018088984727973,0.6456427270191549,0.8252518018005707,0.7804526485349629,0.1827316207519055,True,HUFL,24.0,26,0.8745152284551346,0.03977700971738512,0.3125,0.08888888888888889,0.2236111111111111,0.2421875,False,True
656,0,0.0764169649655435,0.1035457559555255,0.4791666666666667,True,0.0764169649655435,0.3501346032044701,0.1150955046357649,0.3082178073107218,True,0.6172025760246308,0.8049047037841793,0.9209228456248716,0.1311823041156844,0.5967764710246274,0.7947598986540815,0.9164456566437488,0.1416312175563659,0.6159011457346961,0.8165940334048519,0.7838224267810424,0.2232726840816019,True,HUFL,24.0,26,0.8744881741740496,0.030634701313759383,0.2708333333333333,0.08888888888888889,0.1819444444444444,0.16927083333333331,False,False
657,0,0.0095382612814028,0.1059594520127699,0.5104166666666666,True,0.0095382612814028,0.328339535648806,0.1047927152490104,0.2962615081863325,True,0.6093332774524904,0.8047524788950351,0.9258632543033092,0.1537057413215919,0.5867819069373723,0.7930966391523772,0.9238937367554266,0.1584692126441035,0.6045136908227418,0.814544169869856,0.7952479281506544,0.2420664555483582,True,HUFL,24.0,26,0.8744946900934893,0.0300919448862306,0.2638888888888889,0.07222222222222222,0.19166666666666668,0.21354166666666663,False,False
659,0,0.0346816263436096,0.1016970933288005,0.46875,True,0.1017893479571874,0.2639836537343681,0.0346816263436096,0.2830356482416127,True,0.6229817058900506,0.8076445560465074,0.9429361886935944,0.1049008920705412,0.6164240530082148,0.8008135934638145,0.93701766501998,0.079541243136726,0.6528849808743229,0.8244865424465236,0.8044161346943645,0.1627582763909788,True,HUFL,24.0,27,0.8747004306505964,0.02729522355571794,0.24861111111111112,0.08333333333333333,0.1652777777777778,0.1875,False,False
660,0,0.0668645736174899,0.1033778905871707,0.5,True,0.1872065945021713,0.2873503462779434,0.0668645736174899,0.2802354782563007,True,0.6334806201792318,0.8101087770460322,0.9256094325471668,0.0972378992296452,0.6297320528732961,0.8034565160726835,0.9096617357578252,0.0673110069601472,0.6737536256903973,0.835480064634809,0.7775459218340021,0.1446269262956344,True,HUFL,24.0,27,0.8751611616704604,0.026847000887567137,0.24722222222222223,0.08888888888888889,0.15833333333333333,0.17447916666666663,False,False
669,0,0.0291458455609273,0.0778864482038335,0.2291666666666666,True,0.0371004625441747,0.0291458455609273,0.1018287058329119,0.2165237425318114,True,0.617426739276783,0.8062772578192923,0.9093337793861374,0.1484440317505459,0.6116291627837411,0.8032342163548287,0.9179185759933062,0.1428409646905499,0.6807009727285764,0.8631829054076092,0.773819005735258,0.237482312803912,True,HUFL,24.0,26,0.8750440847092579,0.021281116372512142,0.2222222222222222,0.06805555555555555,0.15416666666666667,0.15625,False,False
670,0,0.0586864560970302,0.0850199297680062,0.3125,True,0.1040371715846798,0.0586864560970302,0.1102819167933053,0.105602923675295,True,0.6241544535449508,0.8060543498771812,0.9041693353570792,0.126264052822859,0.6090309611760871,0.7994069813949355,0.9216028097868038,0.1228362334594337,0.6791127132014314,0.8551965748404842,0.7623166318310362,0.2088582883297331,True,HUFL,24.0,26,0.8751201736889265,0.009774821993869547,0.14027777777777778,0.06805555555555555,0.07222222222222223,0.04166666666666667,False,False
671,0,0.0788690296846496,0.0874632865261087,0.3854166666666667,True,0.1778475078608762,0.0788690296846496,0.1358012720766089,0.0933737044352067,True,0.6389724470589747,0.8106548944735306,0.8999822889701933,0.101042206366218,0.6257509016611934,0.8033296494172047,0.9101240323600216,0.0904576350754227,0.6968652652339746,0.8610775698766424,0.7470177854674004,0.1777067294482868,True,HUFL,24.0,26,0.8752771900426266,0.0067931447731993996,0.10277777777777777,0.04722222222222222,0.05555555555555555,0.03645833333333333,False,False
672,0,0.0786452387728221,0.0793842898225327,0.2395833333333333,True,0.2922388663984309,0.0853761160300893,0.1334803934230962,0.0786452387728221,True,0.6267157611293818,0.8046254941760957,0.921011351008002,0.0846212566572243,0.5955789025848549,0.7894975211413772,0.934849720153516,0.0812414398312814,0.6896448552260261,0.8580312878190125,0.7463065015009943,0.1846358788873934,True,HUFL,24.0,26,0.8754619960013214,0.006385631882934276,0.13055555555555556,0.07083333333333333,0.05972222222222223,0.0,False,False
673,0,0.119803955281007,0.0806037227858718,0.28125,True,0.2602820266247286,0.1202847364691878,0.1406845216384965,0.119803955281007,True,0.6360936151517055,0.8083565893698585,0.9129545042868852,0.0800377199886106,0.606060854164084,0.7943285169384178,0.933294870021642,0.0747348069392791,0.6942526935259841,0.8567837149152412,0.7534660153245832,0.1707369133177463,True,HUFL,24.0,26,0.8755365855792916,0.008892489804709906,0.13333333333333333,0.075,0.058333333333333334,0.015625,False,False
674,0,0.1459773731384674,0.084668060239651,0.3020833333333333,True,0.2762233119794752,0.1497965949981697,0.1459773731384674,0.1662376580458601,True,0.6375136856427435,0.8084366546138028,0.9119443928137972,0.073090950282064,0.5960057593258283,0.7888568420392674,0.9300541028878256,0.0797037730298973,0.6923318075006135,0.8589605211917936,0.7423838231693075,0.1785811942608688,True,HUFL,24.0,26,0.8759750755027227,0.01532160641560192,0.20972222222222223,0.09166666666666666,0.11805555555555557,0.07031249999999999,False,False
675,0,0.1191527642128165,0.0926461111488239,0.3854166666666667,True,0.1299823357939862,0.1519607069912688,0.1191527642128165,0.1386413917401964,True,0.6342815026606435,0.8085762403260407,0.9016454459187312,0.1041736853984598,0.6037992618382337,0.7964065310103987,0.9351129130977516,0.1059464032708089,0.6937917448898067,0.8580076467660961,0.7621976475655399,0.1822246445255879,True,HUFL,24.0,26,0.8762249148555679,0.011983885532278245,0.15833333333333333,0.07916666666666666,0.07916666666666666,0.03645833333333334,False,False
676,0,0.1079523306630146,0.096715668126067,0.4166666666666667,True,0.1079523306630146,0.1260659348332257,0.114038911870733,0.1363794418221434,True,0.6351092458424816,0.8092644463341931,0.9185360479989524,0.0886533435789338,0.6082374412293985,0.7992967191271068,0.9475246407128352,0.0930928957565174,0.708603418372876,0.8663457538859335,0.7715794410851307,0.1815788888099361,True,HUFL,24.0,26,0.8763351310663545,0.01328376844350704,0.18472222222222223,0.08333333333333333,0.1013888888888889,0.05989583333333334,False,False
677,0,0.0894257988114836,0.1004247288001063,0.4270833333333333,True,0.1474918621808006,0.0894257988114836,0.1182919599313254,0.2094349101509947,True,0.6377698299176544,0.8109050306175969,0.8952310314001274,0.1126333181403088,0.6161575050326764,0.8019354057200496,0.920430247854438,0.1135863649486615,0.7059257937094592,0.8662483554901556,0.7534893942012817,0.1781736128864043,True,HUFL,24.0,26,0.8764990720643724,0.01862617122597989,0.2,0.075,0.125,0.10677083333333333,False,False
678,0,0.0671390495111836,0.1076670511658252,0.5416666666666666,True,0.200539858205039,0.0671390495111836,0.1050164172959264,0.2799022536145048,True,0.6395951489265033,0.8082826446314166,0.8777968289035617,0.0943051582408502,0.6157673330632054,0.7972989881465875,0.8956880864185847,0.1011826505760245,0.6938205310205319,0.8624694874916056,0.7214205775785454,0.1736038330390155,True,HUFL,24.0,26,0.8768206142863186,0.026140449707269506,0.2625,0.09861111111111111,0.16388888888888892,0.171875,False,False
679,0,0.0614138829251947,0.1108609039931009,0.5,True,0.0992087024786109,0.0681007268087772,0.0614138829251947,0.2999323461444714,True,0.6329900283651491,0.806095949623552,0.8889471004867578,0.0996811839565974,0.6081363043622245,0.794779466771803,0.8967650808059767,0.1146168878041945,0.6863803786419262,0.8597393260713176,0.7194590146495203,0.1819141676149519,True,HUFL,24.0,26,0.8770133940485605,0.028923425153517555,0.2777777777777778,0.09444444444444444,0.18333333333333335,0.20052083333333331,False,False
