system,dataset,horizon,mse,mae,checkpoint_repetitions,prefix_identity,matrix_complete,system_role,checkpoint_sha256
iTransformer,ETTh2,192,0.38481327106802277,0.4006987046954273,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh2,336,0.42361760909251484,0.4334329389672345,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh2,720,0.42967171498841433,0.44647563936350315,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm1,96,0.346383725270311,0.3821783948691419,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm1,192,0.3840996493668459,0.39902395120687834,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm1,336,0.4183899569760027,0.42031360109934696,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm1,720,0.4869880086753686,0.4564844291059642,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm2,96,0.1900337958975665,0.2765221044223506,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm2,192,0.25332934230855286,0.31454457967205784,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm2,336,0.31825343197557876,0.35430802802216055,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTm2,720,0.41576249517614683,0.40863125172281883,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Solar,96,0.19727682364458468,0.2385637905683262,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Solar,192,0.22793137717319992,0.25930349970744665,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Solar,336,0.24295637450293875,0.27100612234387667,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Solar,720,0.24967725044717176,0.2756049366806625,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Weather,96,0.17942855262593624,0.22188502344827984,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Weather,192,0.22787028958601127,0.26172562476209493,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Weather,336,0.2829813363222093,0.30100460044604,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,Weather,720,0.3588743374916398,0.35073530336167746,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
