system,dataset,repeat,horizon,mse,mae,global_elementwise_mse,global_elementwise_mae,native_batch_mean_mse,native_batch_mean_mae,metric_semantics,origin_count,channel_count,checkpoint_sha256,prediction_prefix_sha256,target_prefix_sha256,prefix_identity,test_role,loader_horizon,loader_drop_last,input_only_inference,test_tuned,matrix_complete,source_metric_file,global_elementwise_float64_mse,global_elementwise_float64_mae
DLinear,ECL,0,96,0.14012464148972925,0.23776855976491637,,,,,global_elementwise_float64,5165,7,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,35b293e2d008bc6cc4a957860648f4b95e15e98c6518f38e5f0a87e0275383fe,9f5eb6f71ed0a4209778989e62d660616cb7bfceb88746c85fa9645efb94cb94,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ECL__r0__H96/prefix_metrics.csv,,
DLinear,ETTh1,0,192,0.4571752560448183,0.46517454421001136,,,,,global_elementwise_float64,2689,7,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,4cba8f344ea696799b3884de8aa020a34461470f861d63aa1271c73e308c9a8d,970800889c829e7d46541c683c2f0e8b6fdba08f1b143d3f7277c340c6851f1d,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh1__r0__H192/prefix_metrics.csv,,
DLinear,ETTh1,0,336,0.48368501816896425,0.48093434105797106,,,,,global_elementwise_float64,2545,7,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,69f432ac56c857132e48ecd8b2b5cb042adb9e8ec54141ff3d9be293972ac6a4,6aadec30f9d0653693bfd88edafafb9ab8d712f13cb9367ea1c13b8e85f9058e,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh1__r0__H336/prefix_metrics.csv,,
DLinear,ETTh1,0,720,0.5377904354270716,0.5380031065415222,,,,,global_elementwise_float64,2161,7,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,12d45cdeefad410c9b747394d23f01f0c735fdd1df1a38d6d0641af32bb64df8,011f2f68df1d439f9f6ad3376fb2d39695c099b42ce31da16d01babc70073d62,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh1__r0__H720/prefix_metrics.csv,,
DLinear,ETTh1,0,96,0.41564803281431095,0.43648761481461207,,,,,global_elementwise_float64,2785,7,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b,b82f9f4f756978758454cd701267b45e95b5eba2bda32a5c06b8ba83549b2484,85406b935124bf2745dc1b683d236d0d7b29747ad0e333196e9aad7030ca16b7,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh1__r0__H96/prefix_metrics.csv,,
DLinear,ETTh2,0,192,0.3665346716659934,0.40830364373660716,,,,,global_elementwise_float64,2689,7,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,8166eae3bacf5a2e2172edca8a1f191dca0fd953f4ff6181fd77ea1a76f0f672,a6c24e6881a0ffab7697f3c4189202306f29e735acf1cb9da8020524f34cd62a,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh2__r0__H192/prefix_metrics.csv,,
DLinear,ETTh2,0,336,0.3853026592179365,0.4248351392504992,,,,,global_elementwise_float64,2545,7,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,a90abd22f79d41fd1dc5d868217f0d71ead3d26acd465baef998987f839b2894,c495b360c244e930c91beacee1185285d77edf65fc72ab5034c3b73650f2ea35,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh2__r0__H336/prefix_metrics.csv,,
DLinear,ETTh2,0,720,0.5843532290643734,0.543314874418708,,,,,global_elementwise_float64,2161,7,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,122ee1ba476d9c596fffcaec7fcc637d7a092b6d1c473ac7bc4bfc6ff5c09b6c,54e79c2d71f454b925b06f24fc07424541665f1167519ad75267a2d907554822,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh2__r0__H720/prefix_metrics.csv,,
DLinear,ETTh2,0,96,0.3219902483114497,0.38153110657911904,,,,,global_elementwise_float64,2785,7,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43,aa89ba432775f6e640e1040fd5d429fd9933b6ab96d57ce1dff715dd613394bb,f96ac8c63af7b3298a8a30bab921707e95145eca30fba9a72fff7a2aa0aa1eef,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTh2__r0__H96/prefix_metrics.csv,,
DLinear,ETTm1,0,192,0.33613560276897547,0.3667610351388911,,,,,global_elementwise_float64,11329,7,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,d60e93e06771abd13a32b858b5f8cf7d48a79c5fdd464f628dd2c4b560cbc3b6,fde46e5b466612e9fd1787fc529f31641d6a358bd07cbaab9f267e2fde9850cf,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTm1__r0__H192/prefix_metrics.csv,,
DLinear,ETTm1,0,336,0.3706175113619444,0.38701066880079277,,,,,global_elementwise_float64,11185,7,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe,5c6201d0c87af5d21680665c3e919612c25005a9bb93ccda0547ee6df92d06bc,703f9efab78a24f16b87e528924abe07f2c7c1b6ba1c875437e2e1bb09f3efb4,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ETTm1__r0__H336/prefix_metrics.csv,,
