system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
PatchTST,ETTm2,336,0.27516719728176353,0.3287774157110043,0.275,0.329,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTm2,336,0.3195900185296991,0.3813387570868649,0.320,0.381,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTm2,720,0.3440692155815435,0.3718412308467188,0.344,0.372,second,second,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTm2,720,0.3429375028444661,0.37138505656686094,0.343,0.371,best,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTm2,720,0.3638134300708771,0.3853282332420349,0.364,0.385,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTm2,720,0.3553587794303894,0.3814344108104706,0.355,0.381,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTm2,720,0.40076594485542777,0.39915149955402335,0.401,0.399,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTm2,720,0.41576249517614683,0.40863125172281883,0.416,0.409,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTm2,720,0.3648001207539759,0.38292765482199786,0.365,0.383,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTm2,720,0.4029211847615785,0.42797941925492533,0.403,0.428,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTm2,Avg.,0.24873275082480867,0.30569279133343635,0.249,0.306,second,best,1,four_horizon_arithmetic_mean
TimeAlign,ETTm2,Avg.,0.24687501341275433,0.30653998694014883,0.247,0.307,best,second,1,four_horizon_arithmetic_mean
QDF,ETTm2,Avg.,0.2570388950407505,0.31595078110694885,0.257,0.316,normal,normal,1,four_horizon_arithmetic_mean
AMD,ETTm2,Avg.,0.2546236962080002,0.31604641675949097,0.255,0.316,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ETTm2,Avg.,0.28473911570452237,0.3302579369118991,0.285,0.330,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ETTm2,Avg.,0.2943447663394613,0.33850149095984694,0.294,0.339,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ETTm2,Avg.,0.25782840576007976,0.3161865944930866,0.258,0.316,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ETTm2,Avg.,0.2917722045230711,0.3592318988262102,0.292,0.359,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,ETTh1,96,0.348176470004464,0.38621253898237523,0.348,0.386,best,best,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTh1,96,0.37477417041858035,0.40380973772456247,0.375,0.404,second,normal,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTh1,96,0.4010436236858368,0.417733758687973,0.401,0.418,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTh1,96,0.3777333199977875,0.40336301922798157,0.378,0.403,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTh1,96,0.382155635141529,0.4056030580874654,0.382,0.406,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTh1,96,0.40936272502789023,0.4218735274936511,0.409,0.422,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTh1,96,0.394347689569492,0.41422656325614177,0.394,0.414,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTh1,96,0.41564803281431095,0.43648761481461207,0.416,0.436,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
