dataset,arm,status,protocol_pass,dense_mse_auc,dense_mae_auc,h720_mse,h720_mae,readout_mode,objective_mode,mode_rank,encoder_initialization_hash,decoder_initialization_hash,run_dir,minimum_pairwise_probe_nrmse,mean_pairwise_probe_nrmse,policy_normalized_entropy,policy_usage_max
ETTh2,dense_matched,ok,True,0.46693392466411726,0.46625178969387476,0.6978612454608083,0.5787337837533818,pcsd-dense-nonlinear-matched,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,f07ec2057636dd7cb876918689576bca3fa9ab80268e0408edee4914b89973ab,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/dense_matched/ETTh2/h720_full/seed2021,,,,
ETTm1,a6,ok,True,0.6665586695235278,0.5278022984740388,0.9540847590814034,0.6391648210171196,learned-basis-forecast-operator,not_applicable,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/a6/ETTm1/h720_full/seed2021,,,,
ETTm1,pcsd_direct,ok,True,0.6821613483834065,0.5352864175263715,0.9697331401829918,0.6448724376244678,pcsd-coupling-field,not_applicable,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,a77b2f0dca7e5c481a7504252915141de296f0878f551728fcbba9a9d409a5bb,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/pcsd_direct/ETTm1/h720_full/seed2021,0.10728731944965214,0.5588833332931519,0.7212802015300915,0.6318429740108381
ETTm1,dense_matched,ok,True,0.6824753421371151,0.5312889854341828,0.9826027047302988,0.6432306565758255,pcsd-dense-nonlinear-matched,not_applicable,256,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,7b12b6148f28cc88642d823834f4bf74b734431507b241478a0d2c900ef392b4,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/dense_matched/ETTm1/h720_full/seed2021,,,,
ETTm2,a6,ok,True,0.194697267471799,0.29554897295086724,0.28115178919397293,0.35736764688044786,learned-basis-forecast-operator,not_applicable,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/a6/ETTm2/h720_full/seed2021,,,,
ETTm2,pcsd_direct,ok,True,0.19840487948338598,0.29590785738141107,0.28982904065503845,0.3561428168374631,pcsd-coupling-field,not_applicable,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,da7cd257bc064f00e577611e6b1f2d905647dc81a82eab6a20c45496764aad7c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/pcsd_direct/ETTm2/h720_full/seed2021,0.10491184102383515,0.5742454616745751,0.5477941005672723,0.7555175499941138
ETTm2,dense_matched,ok,True,0.20084351081488977,0.2975543872021829,0.28958459268324077,0.35745126791298387,pcsd-dense-nonlinear-matched,not_applicable,256,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,e41bd1c53b0ac4dbd393d6700bcea56c6cfe96529a96550d0c8d19976808e8b8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/dense_matched/ETTm2/h720_full/seed2021,,,,
Weather,a6,ok,True,0.4971091556465374,0.326180357334431,0.5898309545798435,0.3875111889404555,learned-basis-forecast-operator,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/a6/Weather/h720_full/seed2021,,,,
Weather,pcsd_direct,ok,True,0.49815221675322247,0.3270047762230551,0.5926343293653594,0.3907138041427566,pcsd-coupling-field,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/pcsd_direct/Weather/h720_full/seed2021,0.11438979337593183,0.7134974658668829,0.6713784809149759,0.6407600498959809
Weather,dense_matched,ok,True,0.5066337718790481,0.33108009696984775,0.5955459751602676,0.3913160105753276,pcsd-dense-nonlinear-matched,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,f07ec2057636dd7cb876918689576bca3fa9ab80268e0408edee4914b89973ab,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/dense_matched/Weather/h720_full/seed2021,,,,
ETTh1,equal_skill,ok,True,1.1762340728488876,0.7430413670288953,1.4157541905426316,0.8314866073843505,pcsd-coupling-field,equal_skill,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,81ca544cc0000d2058061b296b2f9170eb4eb26bdc20b80477cd93ecd866a277,/home/yingch/exp_outputs/r-2026-fatst/stage_c_sc2_pcc_step7b/equal_skill/ETTh1/h720_full/seed2021,0.04211338994335854,0.21289892598578217,0.9630941727211082,0.32782133651176115
ETTh1,pcc_transport_full,ok,True,1.1779162203234266,0.7435882320544153,1.4160071355808113,0.831698671521412,pcsd-coupling-field,pcc_transport_full,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,81ca544cc0000d2058061b296b2f9170eb4eb26bdc20b80477cd93ecd866a277,/home/yingch/exp_outputs/r-2026-fatst/stage_c_sc2_pcc_step7b/pcc_transport_full/ETTh1/h720_full/seed2021,0.04253268307412406,0.22159040600333726,0.9732493614010711,0.27394726961457583
ETTh2,equal_skill,ok,True,0.4240361849681245,0.4459439104734475,0.646336158996241,0.5601614768513374,pcsd-coupling-field,equal_skill,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_sc2_pcc_step7b/equal_skill/ETTh2/h720_full/seed2021,0.02759524555221894,0.15041783838877745,0.9645207345279941,0.26942208838507675
ETTh2,pcc_transport_full,ok,True,0.42179092296811493,0.4441112582521714,0.6433954302531978,0.558293252852228,pcsd-coupling-field,pcc_transport_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_sc2_pcc_step7b/pcc_transport_full/ETTh2/h720_full/seed2021,0.03264572270210875,0.20801812993556293,0.9725290645734176,0.28659089695256657
