dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
Solar,H4J,Solar__h4j_dropout4_rank64,h4j_dropout4_rank64,0.19654878848768437,0.219803872857198,True,0,0,0,1.0354475520504571,0.13235455103969712,1066565,1.0354475520504571,1.035629452573697,1.0466421551395808,1.0373766450450217,False,False
Solar,H4J,Solar__h4j_dropout4_rank96,h4j_dropout4_rank96,0.19552748015984556,0.21833942491993438,True,0,0,0,1.0295927255647976,0.1327586010656281,1277125,1.0295927255647976,1.0302481068396074,1.0396688797135236,1.0315109107111224,False,False
Solar,H4J,Solar__h4j_dropout5_lr2e4,h4j_dropout5_lr2e4,0.1948150278284208,0.21666680461043586,True,1,0,1,1.0229817237360543,0.1341391357942369,1487685,1.0229817237360543,1.02649414517108,1.0317043479575199,1.0248875922398901,False,False
Solar,H4J,Solar__h4j_patch4_lr2e4,h4j_patch4_lr2e4,0.1909131539488108,0.21099267579100783,True,2,4,6,0.9997267783716879,0.12765376390017327,3893061,0.9997267783716879,1.0059348960348011,1.0046857957413629,1.0015893216949265,True,False
Solar,H4J,Solar__h4j_patch4_lr2e4_dropout4,h4j_patch4_lr2e4_dropout4,0.1923772228836395,0.21153136361474056,True,0,4,4,1.0048369309469267,0.12823593025280547,3893061,1.0048369309469267,1.0136491786878423,1.0072508705849046,1.0067089947519265,True,False
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,0.19048453204853955,0.210791918450881,True,2,4,6,0.998140412160059,0.1268700007209739,3893061,0.998140412160059,1.0036764569604395,1.0037298476390881,1.0,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4_dropout4,h4j_patch4_lr3e4_dropout4,0.1914789577566985,0.21000861830172016,True,2,4,6,0.998872307121709,0.12747809814774508,3893061,0.998872307121709,1.0089161562721978,1.0,1.000733258520278,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4_rank64,h4j_patch4_lr3e4_rank64,0.1897867890868019,0.21278090191689036,True,2,4,6,1.000828081014487,0.1281076896907175,2488901,1.000828081014487,1.0,1.0132008087934146,1.0026926761222017,True,True
Weather,H1,Weather__h1_current,h1_conservative_anchor,0.21721319627192756,0.24865119770257765,True,0,0,0,1.0141777859998835,0.4842246044312589,2570133,1.0141777859998835,1.00325599450775,1.0002965913193076,1.0003075279997284,True,False
Weather,H1,Weather__h1_timealign,h1_timealign_source_prior,0.21657432174247032,0.2490305498664157,True,1,0,1,1.0148532971146835,0.48978661656340894,19115989,1.0148532971146835,1.0003051852916565,1.001822683612057,1.0009738005830071,True,False
Weather,H2,Weather__h2_capacity128,h2_capacity128,0.22120058878669624,0.2512015227331132,True,0,0,0,1.027575533575864,0.4825102906910673,5032277,1.027575533575864,1.0216728103898243,1.0105562701721416,1.0135220431897654,False,False
Weather,H2,Weather__h2_lookback336,h2_lookback336,0.21930068627222082,0.24987436875921187,True,0,0,0,1.0224279864393222,0.5056219329819127,2568085,1.0224279864393222,1.0128976133974574,1.0052172747901957,1.0084448957482646,True,False
Weather,H2,Weather__h2_table5_ff,h2_table5_ff,0.21682983429176472,0.24958759434291838,True,1,1,2,1.0170335126679912,0.4892320744886381,19181781,1.0170335126679912,1.0014853368715386,1.0040636126572706,1.0031241987289157,True,False
Weather,H4J,Weather__h4j_current_budget45,h4j_current_budget45,0.22031505140941848,0.2508330562082258,True,0,0,0,1.0258376723720826,0.48529009486286206,2570133,1.0258376723720826,1.0175827242561883,1.009073969615114,1.011807949597144,False,False
Weather,H4J,Weather__h4j_current_capacity128,h4j_current_capacity128,0.21713645054186692,0.24953269523765778,True,1,0,1,1.016829716023122,0.4853219068121342,4966485,1.016829716023122,1.0029015242681065,1.0038427595571606,1.0029231892798252,True,False
Weather,H4J,Weather__h4j_current_lr2e4,h4j_current_lr2e4,0.21939883634545315,0.25036731231248516,True,0,0,0,1.0229498902701957,0.4840860847428086,2570133,1.0229498902701957,1.013350945197835,1.0072003328273498,1.0089596618357508,True,False
