source,source_url,source_pdf_sha256,source_page,source_table,evidence_role,model,dataset,horizon,mse,mae,reported_run_aggregation
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ECL,336,0.163,0.259,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ECL,720,0.189,0.278,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ECL,720,0.209,0.313,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ECL,720,0.203,0.301,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ECL,720,0.194,0.286,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ECL,720,0.197,0.29,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Solar,96,0.172,0.2,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Solar,96,0.179,0.232,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Solar,96,0.197,0.21,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Solar,96,0.188,0.232,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Solar,96,0.178,0.229,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Solar,192,0.189,0.213,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Solar,192,0.201,0.259,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Solar,192,0.218,0.222,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Solar,192,0.193,0.248,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Solar,192,0.189,0.246,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Solar,336,0.204,0.219,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Solar,336,0.19,0.256,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Solar,336,0.234,0.231,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Solar,336,0.203,0.249,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Solar,336,0.198,0.249,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Solar,720,0.202,0.224,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Solar,720,0.203,0.261,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Solar,720,0.243,0.241,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Solar,720,0.223,0.261,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Solar,720,0.209,0.256,three_run_mean
