config,candidate_arm,baseline,comparison,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTh2,720,ok,0.41019314527511597,0.4108887016773224,-0.1692809754483493,0.4402090013027191,0.4386098086833954,0.3646048464178486,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTm1,96,ok,0.27470168471336365,0.2753976285457611,-0.2527050926590779,0.33181411027908325,0.33189406991004944,-0.02409191311789627,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTm1,192,ok,0.31150180101394653,0.31159165501594543,-0.028837101556622446,0.3538930416107178,0.3535957932472229,0.08406445132311813,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTm1,336,ok,0.3499101996421814,0.3496312201023102,0.0797925138920963,0.3750084936618805,0.37451478838920593,0.13182530783311108,False
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,ETTm1,720,ok,0.410445898771286,0.40869757533073425,0.4277792544124859,0.40615585446357727,0.40536031126976013,0.19625581777484857,False
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,Weather,96,ok,0.14139200747013092,0.14160765707492828,-0.15228668368071352,0.1816391795873642,0.18204940855503082,-0.22533935755282286,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,Weather,192,ok,0.18248705565929413,0.18249107897281647,-0.002204663123794859,0.22320301830768585,0.22331419587135315,-0.049785264762725046,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,Weather,336,ok,0.23187917470932007,0.23199225962162018,-0.04874512299873901,0.2637249529361725,0.2635729908943176,0.05765463348093025,True
l120_r64,stbo_bank4,stbo_dct,l120_r64_stbo_bank4_vs_stbo_dct,Weather,720,ok,0.3041919767856598,0.3040352463722229,0.05155008023149943,0.31492626667022705,0.3144686222076416,0.14552945199195477,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTh2,96,ok,0.2508641481399536,0.24645836651325226,1.787637274819165,0.3195521831512451,0.3166827857494354,0.9060793737238448,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTh2,192,ok,0.29602861404418945,0.2895892560482025,2.2236177142273217,0.35367679595947266,0.34915003180503845,1.2965097356662625,False
l120_r64,stbo_bank4,stbo_independent,l120_r64_stbo_bank4_vs_stbo_independent,ETTh2,336,ok,0.32410314679145813,0.31766441464424133,2.026897521533111,0.37907180190086365,0.3742789626121521,1.2805526806159762,False
