origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
1699,6,True,0.5961844021065518,0.0591683922712469,0.8695048588616381,0.0259835998019595,0.5363689273514485,0.420082939498813,0.0653798362095628,0.0671239582785973,0.0653798362095628,0.0259835998019595,0.0671239582785973,0.1224276670899967,0.0697725346254484,0.4300917735028103,0.080462988787147,0.1535729157369195,0.0729209419658802,0.5251705574777352,0.0912073976217126,0.1419281032451982,0.1378465259543207,0.0287580626919676,0.1000123518674435,1.234530240454753,0.9278787416638039,0.07843205355297357,0.21875,0.4115100801515843,True
1673,6,False,0.6553916458943233,0.0534374105544494,0.7459509486348913,0.4335146243010158,0.5236178428657289,0.4008693614488034,0.0852082439250059,0.1621885330122322,0.0852082439250059,0.4746345975114067,0.1621885330122322,0.2478190058262833,0.0877629809912345,0.6458585543162304,0.1939886509182985,0.1943591849289176,0.085809087474076,0.5585025348534018,0.1391917677161696,0.2070387134867578,0.1172844033937803,0.4335146243010158,0.1862890214919759,1.2160659067648578,0.9099028759404888,0.07791206046918066,0.17708333333333334,0.4053553022549526,True
2028,0,True,0.5891749373226538,0.0477479394259197,0.8310967144840352,0.142854469464871,0.3077023924117481,0.4298962864401524,0.0716252295586881,0.0896728289808703,0.0716252295586881,0.201260511431308,0.0896728289808703,0.0970396855892655,0.0831771327873731,0.142854469464871,0.0991805719230258,0.2625546992030318,0.175826010591182,0.3303261715562862,0.0821671025286083,0.3965657635557409,0.2349459253732871,0.4075486414493183,0.0843651394621918,0.9833280016135101,0.6048793414666989,0.0777395847336402,0.1875,0.3277760005378367,True
1850,0,True,0.6435076373877454,0.0560510151757163,0.93058769088385,0.1086268930703552,0.4562572402471379,0.376588535342183,0.1690280204925816,0.1896265651033634,0.1690280204925816,0.1086268930703552,0.1896265651033634,0.2282983232476814,0.1646938733036741,0.2786023525674462,0.1932894991872752,0.2980331032821851,0.193460532589944,0.350875689782786,0.2422822830746308,0.5901875569393089,0.3094282064259928,0.4757120803585284,0.2606527918302492,1.1574761067188288,0.7899668947900835,0.07717645803325975,0.25,0.3858253689062763,True
1190,6,True,0.6473603697066381,0.0624957389885648,0.918093475242943,0.0983412159686175,0.5881126729458132,0.4603289807374437,0.0869046833835916,0.0963831162327665,0.0869046833835916,0.0983412159686175,0.0963831162327665,0.1676336407589882,0.0997606954978618,0.4048885710160608,0.1116050047774069,0.265959166773075,0.125773388555512,0.527095117338723,0.0933879264347701,0.2526486896140187,0.1709709511490662,0.3232858186984256,0.0891558491005187,1.321092798841665,1.0528686827075262,0.07708108272228917,0.17708333333333334,0.440364266280555,True
376,6,True,0.6337688868493748,0.0618044865568951,0.9097639981490052,0.0638318614153132,0.5973732935027829,0.5019612584883141,0.1368419662009359,0.1461724241201112,0.1368419662009359,0.0638318614153132,0.1461724241201112,0.410019416119767,0.2404928723775649,0.4134597950178127,0.1650497118101862,0.7652003533027193,0.3734460211973859,0.5119630831513119,0.184947367866599,0.907530124885044,0.3698037986745317,0.5925162277986371,0.1951945608734221,1.435611038260499,0.7076913901906323,0.07691141404846828,0.2916666666666667,0.47853701275349964,True
1859,0,True,0.6426318904511232,0.0541097214371557,0.917167977788061,0.1364469078939117,0.4311382918891913,0.3769702900875396,0.112381626116535,0.1301386413225058,0.112381626116535,0.1364469078939117,0.1301386413225058,0.1967579366465417,0.1330255382128754,0.3239127199639012,0.1433346454926588,0.2616751485015057,0.1640526748366263,0.3730674243386075,0.1722184399991468,0.5418503928941926,0.2884652445987264,0.4676293523421784,0.175947046020478,1.088220795215752,0.6533965872883698,0.07655294902844104,0.23958333333333334,0.36274026507191737,True
1849,0,True,0.6468430031008299,0.057375513521182,0.940768162887552,0.1026362680033424,0.456680412560512,0.3765990891817407,0.191305283983929,0.2131858879099891,0.191305283983929,0.1026362680033424,0.2131858879099891,0.2475406686878905,0.1857206212874476,0.24973693303862,0.2183267067660097,0.3170316842924449,0.2130198436202648,0.3280802702869111,0.2739381725270078,0.601979680224395,0.3319018130387537,0.4486494744888507,0.2961938242559168,1.199077315351675,0.7990495296659219,0.07533150985700132,0.20833333333333334,0.3996924384505583,True
1698,6,True,0.5898515310874828,0.0574459362394427,0.8403516890328552,0.0567101031027489,0.526626556402305,0.4197287061472255,0.070625415012044,0.0748713786126101,0.070625415012044,0.0567101031027489,0.0748713786126101,0.1329141591255036,0.073601637898852,0.4462468228884929,0.0895058968398666,0.1611947794644163,0.075863992579741,0.5293644568899452,0.1008288375659246,0.1482796796964411,0.1392074691813752,0.0611831002982912,0.1124078655323531,1.207667082688325,0.9105304568938664,0.0751593068981743,0.17708333333333334,0.40255569422944165,True
1674,6,False,0.6436431974706819,0.0524480923463309,0.7209625173530773,0.4374666363436136,0.5192194789105913,0.4015138686480332,0.0914856959721076,0.1721125803794893,0.0914856959721076,0.4684543351195375,0.1721125803794893,0.2534408495703337,0.0934367845190708,0.6313270545080749,0.2035663312010805,0.2029703765068269,0.0911873876567084,0.5507354855123826,0.1494878459145302,0.2098669208952798,0.1180571449314305,0.4374666363436136,0.1961890996546902,1.1868226497432208,0.886167955898344,0.07486556892466316,0.16666666666666666,0.39560754991440694,True
