dataset,checkpoint_seed,candidate_family,control_family,horizon,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,block_pca_fit_b32,pca_fit,336,-0.04232585973764225,-0.0432343714476624,-0.02426387861880301,-0.024560641869750377
ETTh1,2021,block_pca_fit_b32,pca_fit,512,-0.05154817878683677,-0.052899912510604885,-0.027968594368429862,-0.028363387512606808
ETTh1,2021,block_pca_fit_b32,pca_fit,720,-0.05545285262659572,-0.0570191802196085,-0.02924864075016726,-0.02968058320183742
ETTh1,2021,block_pca_fit_b48,balanced_interval,48,0.006222447310713987,0.006203127977394307,-0.001427630326855312,-0.0014286498761524324
ETTh1,2021,block_pca_fit_b48,balanced_interval,96,0.004631758594505276,0.004621048542505224,0.0013525992951410873,0.0013516849450107005
ETTh1,2021,block_pca_fit_b48,balanced_interval,144,0.008515045317992775,0.008478894999576325,0.003306852768309575,0.003301391152605637
ETTh1,2021,block_pca_fit_b48,balanced_interval,192,0.0030829170061407,0.003078169697280142,0.0020221015478603262,0.0020200584778558017
ETTh1,2021,block_pca_fit_b48,balanced_interval,288,0.004291675494396655,0.004282479415354645,0.003423995115908659,0.0034181399292483317
ETTh1,2021,block_pca_fit_b48,balanced_interval,336,0.0028459945301079702,0.002841948526886462,0.003523943717828424,0.0035177419152384592
ETTh1,2021,block_pca_fit_b48,balanced_interval,512,-0.011562858886026213,-0.011629967143849784,-0.004553979760495343,-0.004564364884889205
ETTh1,2021,block_pca_fit_b48,balanced_interval,720,-0.02211018197918908,-0.022356423519107604,-0.011210305098181612,-0.011273376029503623
ETTh1,2021,block_pca_fit_b48,dct2,48,0.018779845984656603,0.018604603401281228,0.00815232578320875,0.008119185692789577
ETTh1,2021,block_pca_fit_b48,dct2,96,0.003924514334573136,0.003916823492421617,0.0014796981176484925,0.0014786039041572163
ETTh1,2021,block_pca_fit_b48,dct2,144,-0.0007892218674569822,-0.0007895333849816666,-0.0011894657326897641,-0.001190173427619623
ETTh1,2021,block_pca_fit_b48,dct2,192,-0.005518110130533026,-0.005533362942899522,-0.0024516638456043415,-0.0024546716309341576
ETTh1,2021,block_pca_fit_b48,dct2,288,-0.006985653643978068,-0.007010110237658518,-0.0029990037231526936,-0.0030035052337091805
ETTh1,2021,block_pca_fit_b48,dct2,336,-0.008642398123773709,-0.008679851464247212,-0.0035665329118418996,-0.003572900558237224
ETTh1,2021,block_pca_fit_b48,dct2,512,-0.021235735622792403,-0.02146281843142095,-0.009994718922301972,-0.010044832944841708
ETTh1,2021,block_pca_fit_b48,dct2,720,-0.03147422443290016,-0.031974775517759735,-0.016061158828993897,-0.016190832547005263
ETTh1,2021,block_pca_fit_b48,pca_fit,48,-0.00768209663764497,-0.007711679646678071,-0.010303174673124972,-0.010356435137426123
ETTh1,2021,block_pca_fit_b48,pca_fit,96,-0.02120971008635429,-0.02143623465954958,-0.01583310006012886,-0.015959107741243983
ETTh1,2021,block_pca_fit_b48,pca_fit,144,-0.025539059227613757,-0.025867975098651685,-0.018686367016693125,-0.018862049757412347
ETTh1,2021,block_pca_fit_b48,pca_fit,192,-0.031785733958200765,-0.032296295565882094,-0.020631018203059015,-0.02084530879973867
