candidate_family,control_family,dataset,mse_reduction,mae_reduction,positive_checkpoints
block_pca_fit_b96,balanced_interval,ETTh1,0.005200907666085497,0.0005979500511458236,3
block_pca_fit_b96,balanced_interval,ETTh2,-0.01218897678641051,-0.004828589225669866,0
block_pca_fit_b96,balanced_interval,ETTm1,-0.006190979482576298,-0.0022207131634575106,0
block_pca_fit_b96,balanced_interval,ETTm2,0.020922753146437212,0.00958229213785311,3
block_pca_fit_b96,balanced_interval,Weather,-0.006481696861127206,-0.008379131685049002,0
block_pca_fit_b96,dct2,ETTh1,0.0016980320111721348,-0.000710434161733664,3
block_pca_fit_b96,dct2,ETTh2,-0.02775302704157534,-0.012413239857197,0
block_pca_fit_b96,dct2,ETTm1,-0.02398062649115862,-0.012864003283637127,0
block_pca_fit_b96,dct2,ETTm2,0.014912573489050507,0.0031556126007515894,3
block_pca_fit_b96,dct2,Weather,-0.00692727126983983,-0.0075791216158593855,0
block_pca_fit_b96,pca_fit,ETTh1,-0.01518707386437601,-0.012566209408394258,0
block_pca_fit_b96,pca_fit,ETTh2,-0.03937483096739913,-0.019163531953846347,0
block_pca_fit_b96,pca_fit,ETTm1,-0.02031914627081899,-0.01373752197361866,0
block_pca_fit_b96,pca_fit,ETTm2,-0.0002463034572515177,-0.0016177914424502227,1
block_pca_fit_b96,pca_fit,Weather,0.0009758302779818706,-0.0007041273734991194,2
