dataset,checkpoint_seed,family,structure_seed_count,mean_val_mse_h48,mean_val_mae_h48,mean_val_mse_h96,mean_val_mae_h96,mean_val_mse_h144,mean_val_mae_h144,mean_val_mse_h192,mean_val_mae_h192,mean_val_mse_h288,mean_val_mae_h288,mean_val_mse_h336,mean_val_mae_h336,mean_val_mse_h512,mean_val_mae_h512,mean_val_mse_h720,mean_val_mae_h720,mean_horizon_log_mse,mean_horizon_log_mae
ETTm1,2023,pca_fit,3,0.4185258697892291,0.4414781359748394,0.46498195688067784,0.4648956779485437,0.5352096979002816,0.4973495148852792,0.596213219745679,0.5234034796273523,0.6979574067599078,0.5625495608374285,0.74582603113539,0.5797999505874832,0.8937772171105804,0.6292502260610953,1.0151315601411168,0.6736975915137865,-0.4411459309619811,-0.613497792628834
ETTm2,2021,balanced_interval,3,0.13693606267832928,0.2581416220358352,0.16149303177192428,0.2805800852378556,0.17829005249281943,0.2946172981541005,0.1919281683234321,0.3061036167850625,0.21666236247133486,0.32512023012959385,0.23042619468776093,0.33504415046128555,0.2727434676074839,0.36283042005031096,0.31198442729636033,0.38671232329621197,-1.5809721791622184,-1.1514999754395348
ETTm2,2021,block_dct2_b144,3,0.1318858039019159,0.25318814417238744,0.15461156870939627,0.2742173091185643,0.17392823548954786,0.2910150156285531,0.18963492878002694,0.3043434814090176,0.21495432151532845,0.32448366872235324,0.22942246596235938,0.3351315602604538,0.2720611418683497,0.36317564850737794,0.3116960688700734,0.3876604810526261,-1.5976750235614017,-1.1588352235782888
ETTm2,2021,block_dct2_b16,3,0.13810091461223342,0.2596011745153332,0.16288331407748569,0.282253817825856,0.18053681306767647,0.29828674588074905,0.1957529606007747,0.3113704435911903,0.22072286290253837,0.3310489672557235,0.2346126713043434,0.3410481907759938,0.27944708808494,0.37001798259175,0.31947678617138486,0.3949344496172345,-1.5642367343064427,-1.1368111121120132
ETTm2,2021,block_dct2_b32,3,0.13522787196396233,0.2559005729952099,0.1602585053362479,0.27918631830915003,0.17823382764251275,0.29533747321658316,0.1938708940051536,0.30883436988414775,0.21856850953428839,0.32865453636830555,0.23275527095096274,0.3389787147823664,0.2764761524544933,0.36723505398066536,0.31567379241044347,0.39169690342243957,-1.5767603721274657,-1.145876895386958
ETTm2,2021,block_dct2_b48,3,0.13541829044271234,0.25870150128054936,0.15872464673999293,0.27854602025275277,0.17762341801571976,0.2950728606377692,0.1919931887446105,0.30755899865527314,0.2166164887052539,0.32668551650362154,0.23055671940935307,0.3370449558737761,0.27528391094223215,0.36590535719925893,0.31606490776742024,0.39051762906827486,-1.5821251718571938,-1.1477290840357928
ETTm2,2021,block_dct2_b96,3,0.13229475228267096,0.2534415924089866,0.15537845525719213,0.27477518328794115,0.17411871174574864,0.2905859764742836,0.18939646458390552,0.3036992646543716,0.21449806092660684,0.32404087832731077,0.2285311169925403,0.3344808611091599,0.27200440159304157,0.3626261089411223,0.31248142278513796,0.38780902585554133,-1.5971537324043343,-1.1594604367343273
ETTm2,2021,block_pca_fit_b144,3,0.1374302206330614,0.2596206630013807,0.16248536489241067,0.28189646405311425,0.18088861051192287,0.2979906771158019,0.19565372794935443,0.31034830732546936,0.21885218196242356,0.3282026012804273,0.2326040327905783,0.3381370841267856,0.27646457437101146,0.36633836653346696,0.3169059824466933,0.3912424446658659,-1.5694610267771603,-1.1420695039845266
ETTm2,2021,block_pca_fit_b16,3,0.14041055177133346,0.26199490910595374,0.16502356616920255,0.2842808201852367,0.18240647475384036,0.29989502798798057,0.19753096534827738,0.3129564614908742,0.22228066159019821,0.332419257625449,0.23616777639106917,0.3423412298258294,0.2805798358957929,0.3710968607497717,0.32087857775502804,0.3962133717717295,-1.5553557472723063,-1.1317046303297853
ETTm2,2021,block_pca_fit_b32,3,0.13530317173742293,0.2582065275715148,0.16071486155508566,0.28111013475864444,0.17815547839626703,0.29654303167769025,0.19322473086032452,0.3091555549633858,0.21832493183557378,0.3290034352120376,0.23186694672027972,0.3388046500500106,0.2751141933379808,0.36647351444815685,0.31363460113298847,0.39005359788988736,-1.5788523621875916,-1.1439745930724479
