dataset,checkpoint_seed,family,covariance_offdiag_ratio,variance_capture_top16,variance_capture_top64,mean_atom_support_fraction,active_atoms_h48,active_atoms_h96,active_atoms_h144,active_atoms_h192,active_atoms_h288,active_atoms_h336,active_atoms_h512,active_atoms_h720
ETTm2,2021,block_pca_fit_b16,0.9804294110312389,0.5456068500549667,0.99879175883994,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2021,block_pca_fit_b32,0.9620470861486031,0.873900845567935,0.9993593179145445,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2021,block_pca_fit_b48,0.9414280051648577,0.9850031764252131,0.9994437067311542,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2021,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2021,dct2,0.5025698817053775,0.9889942873088845,0.9973845336119801,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2021,pca_fit,3.770724806774879e-08,0.9956378711815458,0.9999463571329158,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2022,balanced_interval,0.513780733059113,0.9811921845281414,0.9976340533894815,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm2,2022,block_dct2_b144,0.8237626604204129,0.9870434621862479,0.9973458271045863,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm2,2022,block_dct2_b16,0.980433819038479,0.5455803747516208,0.997558729290617,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2022,block_dct2_b32,0.9620734535485945,0.8737682693278076,0.9976616243111188,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2022,block_dct2_b48,0.9415123444246701,0.9832560873091212,0.997326044233736,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2022,block_dct2_b96,0.8930606659023942,0.985885801353762,0.9973595727722252,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2022,block_pca_fit_b144,0.8221747797996635,0.9934128918305251,0.9997288155153217,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm2,2022,block_pca_fit_b16,0.9804294110312389,0.5456068500549667,0.99879175883994,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2022,block_pca_fit_b32,0.9620470861486031,0.873900845567935,0.9993593179145445,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2022,block_pca_fit_b48,0.9414280051648577,0.9850031764252131,0.9994437067311542,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2022,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2022,dct2,0.5025698817053775,0.9889942873088845,0.9973845336119801,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2022,pca_fit,3.770724806774879e-08,0.9956378711815458,0.9999463571329158,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2023,balanced_interval,0.513780733059113,0.9811921845281414,0.9976340533894815,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm2,2023,block_dct2_b144,0.8237626604204129,0.9870434621862479,0.9973458271045863,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm2,2023,block_dct2_b16,0.980433819038479,0.5455803747516208,0.997558729290617,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2023,block_dct2_b32,0.9620734535485945,0.8737682693278076,0.9976616243111188,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2023,block_dct2_b48,0.9415123444246701,0.9832560873091212,0.997326044233736,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2023,block_dct2_b96,0.8930606659023942,0.985885801353762,0.9973595727722252,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2023,block_pca_fit_b144,0.8221747797996635,0.9934128918305251,0.9997288155153217,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm2,2023,block_pca_fit_b16,0.9804294110312389,0.5456068500549667,0.99879175883994,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm2,2023,block_pca_fit_b32,0.9620470861486031,0.873900845567935,0.9993593179145445,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm2,2023,block_pca_fit_b48,0.9414280051648577,0.9850031764252131,0.9994437067311542,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm2,2023,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm2,2023,dct2,0.5025698817053775,0.9889942873088845,0.9973845336119801,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm2,2023,pca_fit,3.770724806774879e-08,0.9956378711815458,0.9999463571329158,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
