origin,channel,min_gain,target_std_scaled,uvhf_common96_mse,dlinear_common96_mse_h96,dlinear_common96_mse_h192,dlinear_common96_mse_h336,dlinear_common96_mse_h720,relative_gain_h96,relative_gain_h192,relative_gain_h336,relative_gain_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
2090,0,0.3707689250007963,0.514286865157874,0.06176380395745131,0.09815758695250305,0.10445671630742277,0.10260356079796373,0.11570258914431912,0.3707689250007963,0.47427771957099873,0.4352401298009938,0.4954203707850884,0.5384479405825893,0.3748665771424271,0.03242205151192874,0.0,0.1794826468608631,True
1898,0,0.18268440745593817,0.37882046215649895,0.08574067150970144,0.10490521934472836,0.1063609493727677,0.10299561412838443,0.10628199665207179,0.18268440745593817,0.38443416730990376,0.4073962635791005,0.5562082823268002,0.4642422670107121,0.28205723489773504,0.032410100842913785,0.0,0.15474742233690403,True
2089,0,0.35986416034022806,0.5114961852142915,0.0632994364865428,0.09888438135284856,0.10663480515552522,0.10238689153676789,0.11441280343886805,0.35986416034022806,0.47292242879121704,0.4636932516954513,0.5326973131803974,0.524647343527737,0.37158535817803795,0.03238820681706403,0.0,0.174882447842579,True
418,6,0.3699981691744254,0.5056779036633205,0.14270776731924162,0.2265196073037324,0.2396011881385883,0.21684642335516457,0.24442059745733977,0.3699981691744254,0.557349994438163,0.5791676811266067,0.6543461914669043,0.6428382079214832,0.4367480083377586,0.03238098672813334,0.0,0.2142794026404944,True
2153,0,0.037624072638869355,0.5322891570534609,0.06443997423965225,0.06695925407896369,0.06700066301668622,0.06946470241212786,0.07314838098626074,0.037624072638869355,0.28803562646948444,0.2641473504156111,0.4413870839406008,0.5691056949695816,0.38598292473574247,0.03235209812990052,0.0,0.18970189832319387,True
313,3,0.06822555145536113,0.5067912691747334,0.1808137655304033,0.22223165807058787,0.22558447549623084,0.2228567934682625,0.2233781779646947,0.1863726028045425,0.06822555145536113,0.1460548133106424,0.1696849296580797,0.21760308537673395,0.11987543588162453,0.032342904051450815,0.010416666666666666,0.07253436179224465,True
808,0,0.10444962320590612,0.5868308249426055,0.24109560564016222,0.28967664222824796,0.3172375667958237,0.2865114430972475,0.3092764711892508,0.16770781452861072,0.14958334269575657,0.10444962320590612,0.16142040543176728,0.7678694825131046,0.5047369248092082,0.032329614994401575,0.0,0.2559564941710349,True
1915,0,0.2701953497671298,0.38924318447584766,0.08453796680544128,0.11583643208969198,0.11791661857029771,0.11617288200418678,0.11955486569785828,0.2701953497671298,0.3980757816719068,0.4806963737801476,0.5860645315949266,0.5165285556939476,0.3670217951218433,0.032320433451241797,0.0,0.17217618523131586,True
248,3,0.047006300262934064,0.5000076421961672,0.27787345116169343,0.3246102951222543,0.3221934837855059,0.31137869530887524,0.3362210382824469,0.14397831696298757,0.05088302749530704,0.047006300262934064,0.13402485460492375,0.21033467247409743,0.12473046435341484,0.0323182745900225,0.010416666666666666,0.07011155749136581,True
464,2,0.09386223767262947,0.3607434773259842,0.08497563354071931,0.10020392232472479,0.09717188073022458,0.09378655458395378,0.09172046763919812,0.1519729810042374,0.16096184848726025,0.2600755432192785,0.09386223767262947,0.5986269264683636,0.4152702826464605,0.032318034686456165,0.0,0.19954230882278787,True
