system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
iTransformer,ECL,192,0.15518779054225076,0.25394397184849565,0.155,0.254,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ECL,192,0.1389282312808766,0.23897370532611184,0.139,0.239,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ECL,192,0.1439499437155356,0.2465073106988779,0.144,0.247,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ECL,336,0.1562018226091565,0.2509450912429564,0.156,0.251,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ECL,336,0.15247993887843575,0.24699238483187647,0.152,0.247,best,best,1,source_native_H720_one_model_all_horizons
QDF,ECL,336,0.1791900098323822,0.2816661298274994,0.179,0.282,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ECL,336,0.1589653491973877,0.2584109902381897,0.159,0.258,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ECL,336,0.1684309467985913,0.2680779610357653,0.168,0.268,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ECL,336,0.1737996341267833,0.27158175952229496,0.174,0.272,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ECL,336,0.15884297982365303,0.25730491895657703,0.159,0.257,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ECL,336,0.16315797029646115,0.26549758615852764,0.163,0.265,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ECL,720,0.19666098558669823,0.28365932758789697,0.197,0.284,second,second,1,source_native_H720_one_model_all_horizons
TimeAlign,ECL,720,0.1901254733898172,0.2778937604756498,0.190,0.278,best,best,1,source_native_H720_one_model_all_horizons
QDF,ECL,720,0.22251303493976593,0.31353291869163513,0.223,0.314,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,ECL,720,0.2002936750650406,0.29212602972984314,0.200,0.292,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,ECL,720,0.20076404152045482,0.293490285213377,0.201,0.293,normal,normal,3,source_native_H720_one_model_all_horizons
iTransformer,ECL,720,0.21074225625845938,0.30073663998813077,0.211,0.301,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,ECL,720,0.2011319342064936,0.291238910460888,0.201,0.291,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,ECL,720,0.20390152018671379,0.3011989567696195,0.204,0.301,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,ECL,Avg.,0.1516248331337199,0.24563531864087007,0.152,0.246,second,second,1,four_horizon_arithmetic_mean
TimeAlign,ECL,Avg.,0.14792603652609837,0.24205251683652096,0.148,0.242,best,best,1,four_horizon_arithmetic_mean
QDF,ECL,Avg.,0.17629070580005646,0.2782178968191147,0.176,0.278,normal,normal,1,four_horizon_arithmetic_mean
AMD,ECL,Avg.,0.1549003478139639,0.2537051811814308,0.155,0.254,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,ECL,Avg.,0.1648474585423897,0.26406730573547416,0.165,0.264,normal,normal,3,four_horizon_arithmetic_mean
iTransformer,ECL,Avg.,0.17000469845108188,0.266532289730365,0.170,0.267,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,ECL,Avg.,0.15488191074617252,0.252479507178923,0.155,0.252,normal,normal,1,four_horizon_arithmetic_mean
DLinear,ECL,Avg.,0.15983889277872587,0.2612895933075535,0.160,0.261,normal,normal,1,four_horizon_arithmetic_mean
ISCF-BSCA-MAIN-v1,Solar,96,0.1715133846977597,0.1973041698281769,0.172,0.197,second,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Solar,96,0.17343854921637103,0.20651802436138192,0.173,0.207,normal,second,1,source_native_H720_one_model_all_horizons
QDF,Solar,96,0.1827770173549652,0.25299689173698425,0.183,0.253,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Solar,96,0.1816468983888626,0.23612089455127716,0.182,0.236,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Solar,96,0.1705188705988557,0.23361285345994331,0.171,0.234,best,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Solar,96,0.19499723530908214,0.23705627651387967,0.195,0.237,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Solar,96,0.18016617705261703,0.23435522893818958,0.180,0.234,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Solar,96,0.21669429446237543,0.28676019165059036,0.217,0.287,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Solar,192,0.18678586578246154,0.2087816075478677,0.187,0.209,second,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Solar,192,0.18770999190746807,0.2154424242520084,0.188,0.215,normal,second,1,source_native_H720_one_model_all_horizons
QDF,Solar,192,0.20153553783893585,0.26496273279190063,0.202,0.265,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Solar,192,0.19789086282253265,0.24590103328227997,0.198,0.246,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Solar,192,0.1862142608933297,0.24517393377936467,0.186,0.245,best,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Solar,192,0.2272170478730431,0.258823539678416,0.227,0.259,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Solar,192,0.19031455980866555,0.24474741206093997,0.190,0.245,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Solar,192,0.24375326418952678,0.3050648886417097,0.244,0.305,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Solar,336,0.19663841182892042,0.21583663495407304,0.197,0.216,second,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Solar,336,0.1968743119089465,0.22076185180672578,0.197,0.221,second,second,1,source_native_H720_one_model_all_horizons
QDF,Solar,336,0.2131495177745819,0.2711523771286011,0.213,0.271,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Solar,336,0.20875787734985352,0.25258970260620117,0.209,0.253,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Solar,336,0.18943058708407523,0.248610065013405,0.189,0.249,best,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Solar,336,0.24299105019085981,0.2710950143189284,0.243,0.271,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Solar,336,0.1985305760140221,0.25161841515508204,0.199,0.252,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Solar,336,0.2654122235746771,0.3211684908146373,0.265,0.321,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Solar,720,0.20700046588501658,0.22124526147340637,0.207,0.221,normal,best,1,source_native_H720_one_model_all_horizons
TimeAlign,Solar,720,0.20081911921345938,0.22318663704726432,0.201,0.223,second,second,1,source_native_H720_one_model_all_horizons
QDF,Solar,720,0.22260445356369019,0.27768146991729736,0.223,0.278,normal,normal,1,source_native_H720_one_model_all_horizons
AMD,Solar,720,0.21470476686954498,0.25669339299201965,0.215,0.257,normal,normal,1,source_native_H720_one_model_all_horizons
SimpleTM,Solar,720,0.19978683358714652,0.254363545820319,0.200,0.254,best,normal,3,source_native_H720_one_model_all_horizons
iTransformer,Solar,720,0.2496772504471715,0.27560493668066155,0.250,0.276,normal,normal,1,source_native_H720_one_model_all_horizons
PatchTST,Solar,720,0.20603524980251256,0.2574213268835301,0.206,0.257,normal,normal,1,source_native_H720_one_model_all_horizons
DLinear,Solar,720,0.2708660834846778,0.3274722590788681,0.271,0.327,normal,normal,1,source_native_H720_one_model_all_horizons
ISCF-BSCA-MAIN-v1,Solar,Avg.,0.19048453204853955,0.210791918450881,0.190,0.211,second,best,1,four_horizon_arithmetic_mean
TimeAlign,Solar,Avg.,0.18971049306156124,0.21647723436684513,0.190,0.216,second,second,1,four_horizon_arithmetic_mean
QDF,Solar,Avg.,0.2050166316330433,0.26669836789369583,0.205,0.267,normal,normal,1,four_horizon_arithmetic_mean
AMD,Solar,Avg.,0.20075010135769844,0.2478262558579445,0.201,0.248,normal,normal,1,four_horizon_arithmetic_mean
SimpleTM,Solar,Avg.,0.1864876380408518,0.24544009951825801,0.186,0.245,best,normal,3,four_horizon_arithmetic_mean
iTransformer,Solar,Avg.,0.22872064595503913,0.2606449417979714,0.229,0.261,normal,normal,1,four_horizon_arithmetic_mean
PatchTST,Solar,Avg.,0.1937616406694543,0.24703559575943546,0.194,0.247,normal,normal,1,four_horizon_arithmetic_mean
DLinear,Solar,Avg.,0.24918146642781427,0.31011645754645134,0.249,0.310,normal,normal,1,four_horizon_arithmetic_mean
