comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,dataset,horizon,segment,future_region,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,337-720,late_337_720,0.38835421204566956,0.39324691891670227,-1.2441818703909813,True,0.3787985146045685,0.3816656768321991,-0.7512234926200012,True
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,1-96,early_1_96,0.30038490891456604,0.30031517148017883,0.023221415702545656,False,0.36067816615104675,0.35893383622169495,0.48597533955379024,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,1-96,early_1_96,0.29691562056541443,0.2999567985534668,-1.013871998473903,True,0.35747095942497253,0.3577183485031128,-0.06915750315170666,True
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,97-192,middle_97_336,0.4231737554073334,0.42101311683654785,0.513199823088728,False,0.43783846497535706,0.43840253353118896,-0.1286645292144062,True
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,1-96,early_1_96,0.2761511504650116,0.27713316679000854,-0.3543481772216195,True,0.3442830443382263,0.34282058477401733,0.4265961932166329,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,97-192,middle_97_336,0.38817647099494934,0.38112086057662964,1.8512789899888027,False,0.4175993502140045,0.41448524594306946,0.7513184851368093,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,193-336,middle_97_336,0.4550074338912964,0.4433876872062683,2.6206741910770326,False,0.46719300746917725,0.46088793873786926,1.3680264119243946,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,1-96,early_1_96,0.2568359673023224,0.2567152678966522,0.047016839574487435,False,0.3308553695678711,0.3271549642086029,1.131086415949567,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,97-192,middle_97_336,0.34194526076316833,0.3369782865047455,1.4739745726473963,False,0.39061465859413147,0.3875757157802582,0.78409009908047,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,193-336,middle_97_336,0.3712043762207031,0.3621416389942169,2.5025394074142726,False,0.42113208770751953,0.4163040220737457,1.159745132829526,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,337-720,late_337_720,0.47108712792396545,0.4712275564670563,-0.0298005796060985,True,0.4869990646839142,0.48493242263793945,0.4261711425135539,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,1-96,early_1_96,0.14961275458335876,0.14891685545444489,0.46730716062344246,False,0.19720417261123657,0.19556677341461182,0.8372583788317511,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,1-96,early_1_96,0.1505611389875412,0.1498727649450302,0.45930562685185805,False,0.19782654941082,0.19617755711078644,0.8405611346777864,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,97-192,middle_97_336,0.24074992537498474,0.2363300323486328,1.870220632742825,False,0.2817702889442444,0.2810879349708557,0.2427546288884308,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,1-96,early_1_96,0.15188969671726227,0.151143416762352,0.49375617601901123,False,0.1987226903438568,0.19699618220329285,0.8764170560332296,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,97-192,middle_97_336,0.24246825277805328,0.2377781718969345,1.9724606525916455,False,0.28315433859825134,0.2822696566581726,0.3134173012262709,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,193-336,middle_97_336,0.323843777179718,0.31445738673210144,2.984948308946289,False,0.3350049555301666,0.3329090178012848,0.6295827438753676,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,1-96,early_1_96,0.1486584097146988,0.1481466442346573,0.34544520578603244,False,0.19764289259910583,0.19586674869060516,0.9068123713567688,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,97-192,middle_97_336,0.23659062385559082,0.2330068200826645,1.5380681868689017,False,0.28222784399986267,0.28160199522972107,0.22224585789283324,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,193-336,middle_97_336,0.3217542767524719,0.3140771985054016,2.444328427406761,False,0.33600082993507385,0.334377259016037,0.48555063936299714,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,337-720,late_337_720,0.4033051133155823,0.39324691891670227,2.557729994830682,False,0.38331806659698486,0.3816656768321991,0.43294167253931093,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,96,1-96,early_1_96,0.3123861253261566,0.30893898010253906,1.1158013218252494,False,0.37311261892318726,0.364199161529541,2.4474129364307373,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,192,1-96,early_1_96,0.30552032589912415,0.30768561363220215,-0.7037338234690216,True,0.36795204877853394,0.36235111951828003,1.5457187679452922,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,192,97-192,middle_97_336,0.41926974058151245,0.4293528199195862,-2.3484367332121447,True,0.44052162766456604,0.44397661089897156,-0.7781903707516968,True
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,336,1-96,early_1_96,0.28310006856918335,0.2830246090888977,0.02666180885420033,False,0.3539564907550812,0.3467531204223633,2.0773772198340534,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,336,97-192,middle_97_336,0.38301342725753784,0.3848440945148468,-0.47569061950054614,True,0.4191077649593353,0.4182310998439789,0.20961260788197045,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,336,193-336,middle_97_336,0.44834521412849426,0.4485756754875183,-0.05137624967594956,True,0.46630024909973145,0.4653330445289612,0.20785211412384097,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,1-96,early_1_96,0.2628490626811981,0.25765499472618103,2.01590035564303,False,0.34026822447776794,0.32755622267723083,3.8808610310124836,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,97-192,middle_97_336,0.34007135033607483,0.3381696045398712,0.5623644971851416,False,0.3935767114162445,0.38884836435317993,1.2159873864790116,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,193-336,middle_97_336,0.3681034743785858,0.36472949385643005,0.9250638018004409,False,0.42186036705970764,0.4195225238800049,0.5572628516059108,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,337-720,late_337_720,0.47411489486694336,0.4833683371543884,-1.9143666591652453,True,0.4919794499874115,0.4948052763938904,-0.5710986808938889,True
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,96,1-96,early_1_96,0.15502578020095825,0.1509237140417099,2.7179732391920064,False,0.20595115423202515,0.1995583176612854,3.2034929165871473,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,192,1-96,early_1_96,0.15595151484012604,0.1519445776939392,2.637104401486412,False,0.20658934116363525,0.20029541850090027,3.1423198342935166,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,192,97-192,middle_97_336,0.243030846118927,0.23839600384235382,1.9441778393391562,False,0.28441494703292847,0.28124284744262695,1.1278863157395014,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,1-96,early_1_96,0.1571129411458969,0.1531524807214737,2.585959042756736,False,0.20727460086345673,0.2011011391878128,3.069829291159998,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,97-192,middle_97_336,0.24451956152915955,0.23971880972385406,2.0026596205928726,False,0.2855936288833618,0.2823961079120636,1.132282238214799,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,193-336,middle_97_336,0.32524093985557556,0.3164081573486328,2.7915786308917445,False,0.3373744785785675,0.3331386148929596,1.2715018602598605,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,1-96,early_1_96,0.15372411906719208,0.1500176340341568,2.4706995660199293,False,0.20618508756160736,0.2002224326133728,2.9780154353375554,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,97-192,middle_97_336,0.23885701596736908,0.23478010296821594,1.7364814767566017,False,0.2847261130809784,0.2819523513317108,0.9837696817091901,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,193-336,middle_97_336,0.324032723903656,0.3157244324684143,2.631500948559906,False,0.3388110399246216,0.33473527431488037,1.2176086365810468,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,337-720,late_337_720,0.4037609398365021,0.3919121026992798,3.023340452007961,False,0.38509970903396606,0.3804328441619873,1.2267250169366584,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,1-96,early_1_96,0.3123861253261566,0.30031517148017883,4.01942858447113,False,0.37311261892318726,0.35893383622169495,3.9502496757465977,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,1-96,early_1_96,0.30552032589912415,0.2999567985534668,1.8547762119369482,False,0.36795204877853394,0.3577183485031128,2.8608262109686144,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,97-192,middle_97_336,0.41926974058151245,0.42101311683654785,-0.41409072195540686,True,0.44052162766456604,0.43840253353118896,0.4833672187768867,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,1-96,early_1_96,0.28310006856918335,0.27713316679000854,2.1530810794999855,False,0.3539564907550812,0.34282058477401733,3.2483189387254807,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,97-192,middle_97_336,0.38301342725753784,0.38112086057662964,0.49657913713900825,False,0.4191077649593353,0.41448524594306946,1.1152433196381484,False
