comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh1,192,-0.9123695375323093,0.40142941148704503,0.3978000054173156
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh1,336,-4.863574415681127,0.4390991775281478,0.41873374999363516
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh1,720,-4.105169784294449,0.4962784586033915,0.4767087548405893
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh2,96,2.883803469375512,0.24693585162209505,0.2542684541236401
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh2,192,2.6238699371623264,0.28995278283575815,0.2977657693406475
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh2,336,2.4215262169849483,0.32441276261485524,0.33246345227355256
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTh2,720,3.3426401726566524,0.40378330306203686,0.417747084943459
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm2,96,-2.903176287821685,0.16862529179995178,0.16386791728207142
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm2,192,-1.9813862506624202,0.223133863148563,0.21879861742624002
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm2,336,0.028666286878020752,0.27428065274988755,0.27435930137429604
context_vs_a6_full,source_family_context,mse,tsaf,a6_full,ETTm2,720,2.0172446139008593,0.349078494270983,0.35626523554624073
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,Weather,96,2.1399631693463927,0.18419236973369532,0.18822021296848626
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,Weather,192,0.46163089653448175,0.22792029048207052,0.22897732053973874
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,Weather,336,-0.6200124267154772,0.2708840045471525,0.269214839090231
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,Weather,720,-0.7627581827161833,0.3207312536878515,0.31830336869725195
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm1,96,1.2547424313374855,0.3361060951146954,0.3403769491218189
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm1,192,0.976248031759186,0.359119036807138,0.36265949296923805
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm1,336,0.49134176653551354,0.381483913047582,0.38336755797928146
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTm1,720,0.8892983765637408,0.4109234255027314,0.4146105503964692
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh1,96,-1.0982794409914565,0.4023602280229598,0.3979891945221554
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh1,192,-1.2495224011550565,0.4210976643159992,0.4159008895346605
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh1,336,-3.7719194727598993,0.4478225160298748,0.43154498664489677
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh1,720,-3.322753121526456,0.4940690347357579,0.4781802844090327
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh2,96,2.251215134522233,0.32041395100243886,0.32779328299926563
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh2,192,1.5549924619687516,0.3525165417730261,0.35808473236882227
context_vs_a6_full,source_family_context,mae,tsaf,a6_full,ETTh2,336,1.2676124126737687,0.38158959702345385,0.38648877673088555
