dataset,seed,split,loss,target,batch_count,negative_fraction,mean_short_norm,mean_long_norm,mean_norm_ratio,mean_cosine,mean_dot
ETTm1,2023,train,l1,basis_params,4,0.0,0.04731401056051254,0.02086110645905137,2.2747610968902885,0.507093109190464,0.0005014068156015128
ETTm1,2023,train,l1,coeff_params,4,0.0,0.4475882053375244,0.13824805803596973,3.2612182895547543,0.7522561550140381,0.047772327437996864
ETTm1,2023,train,l1,coeff_tensor,4,0.0,0.007029549102298915,0.0031122619984671474,2.261695494887886,0.6071781516075134,1.3291089544509305e-05
ETTm1,2023,train,l1,encoder_params,4,0.0,0.1061033383011818,0.05088980030268431,2.1772227761981973,0.7870826423168182,0.004276064282748848
ETTm1,2023,train,mse,all_params,4,0.0,0.5056571438908577,0.29605384171009064,1.7204829925442393,0.70079605281353,0.10856622364372015
ETTm1,2023,train,mse,basis_params,4,0.0,0.06343304179608822,0.035363166593015194,1.7941990454606498,0.4690881296992302,0.0010580711823422462
ETTm1,2023,train,mse,coeff_params,4,0.0,0.46985508501529694,0.2516900785267353,1.8574815435174252,0.6613647192716599,0.08580912742763758
ETTm1,2023,train,mse,coeff_tensor,4,0.0,0.009493206394836307,0.005285631632432342,1.829781687210646,0.5817883014678955,2.9645481845363975e-05
ETTm1,2023,train,mse,encoder_params,4,0.0,0.15528975240886211,0.13812478259205818,1.263471802305816,0.8600762784481049,0.019119580276310444
ETTm1,2023,validation,l1,all_params,4,0.0,0.9440689980983734,0.2726069986820221,3.466280619100374,0.7866046875715256,0.21378729864954948
ETTm1,2023,validation,l1,basis_params,4,0.0,0.07454521022737026,0.03188724210485816,2.345245224082394,0.5168536156415939,0.0012457067932700738
ETTm1,2023,validation,l1,coeff_params,4,0.0,0.9091606587171555,0.2502759136259556,3.6618620892706093,0.80820532143116,0.19387732073664665
ETTm1,2023,validation,l1,coeff_tensor,4,0.0,0.010093496646732092,0.004580525914207101,2.203444535156982,0.6280410587787628,2.9070047276036348e-05
ETTm1,2023,validation,l1,encoder_params,4,0.0,0.2171758934855461,0.09471160918474197,2.2835851376635636,0.7276864796876907,0.01517720753327012
ETTm1,2023,validation,mse,all_params,4,0.0,1.1017612665891647,0.4919523298740387,2.232440090719337,0.6852141916751862,0.37072158977389336
ETTm1,2023,validation,mse,basis_params,4,0.0,0.13592783361673355,0.0725213261321187,1.8617390359615809,0.4261312410235405,0.004663779051043093
ETTm1,2023,validation,mse,coeff_params,4,0.0,1.03619684278965,0.4098874405026436,2.5448797236557987,0.6986233443021774,0.29831651225686073
ETTm1,2023,validation,mse,coeff_tensor,4,0.0,0.016276369569823146,0.010153878014534712,1.6016936837639637,0.5973542332649231,0.00010080993706651498
ETTm1,2023,validation,mse,encoder_params,4,0.0,0.3214271329343319,0.2452954612672329,1.3294387179691225,0.752585157752037,0.061190349981188774
ETTm2,2021,train,l1,all_params,4,0.0,0.34995607286691666,0.25672692246735096,1.4479970468596273,0.43389419466257095,0.037659588968381286
ETTm2,2021,train,l1,basis_params,4,0.0,0.052662103436887264,0.020761900581419468,2.528023162144998,0.5336553007364273,0.0006122915219748393
ETTm2,2021,train,l1,coeff_params,4,0.0,0.32476189732551575,0.16588175855576992,1.9673523386200313,0.5298337861895561,0.030081856995821
ETTm2,2021,train,l1,coeff_tensor,4,0.0,0.0044431493151932955,0.002024592220550403,2.1941151123691838,0.5544877350330353,5.145553586771712e-06
ETTm2,2021,train,l1,encoder_params,4,0.0,0.11608222499489784,0.1871462520211935,1.6266511949563511,0.3769131191074848,0.006562736816704273
ETTm2,2021,train,mse,all_params,4,0.0,0.41048815846443176,0.2737695313990116,1.5023674863880143,0.37426718324422836,0.04358675051480532
ETTm2,2021,train,mse,basis_params,4,0.0,0.05751224514096975,0.028356910217553377,2.0461584722242416,0.46097206324338913,0.0007679363916395232
ETTm2,2021,train,mse,coeff_params,4,0.0,0.38361694663763046,0.1920403353869915,1.9853722450964342,0.5122513324022293,0.03925631009042263
ETTm2,2021,train,mse,coeff_tensor,4,0.0,0.005334791960194707,0.00302849430590868,1.7891586725888617,0.5113783404231071,8.376748269256495e-06
ETTm2,2021,train,mse,encoder_params,4,0.25,0.1306908968836069,0.1868189424276352,1.440996898261562,0.13755784928798676,0.003341648489367799
ETTm2,2021,validation,l1,all_params,4,0.0,0.24522201716899872,0.1624588407576084,1.5217371125983643,0.44612670689821243,0.01821691310033202
ETTm2,2021,validation,l1,basis_params,4,0.0,0.03912622481584549,0.020613004453480244,1.9253818192167627,0.4609033763408661,0.00038050131843192503
